iteration,max_fitness,qd_score1,qd_score2,qd_score3,coverage1,coverage2,coverage3,time,current_time,invalid_individuals
1,0.5448894,1.3784459,-1.108234,0.6609706,1.0742188,5.5664062,1.953125,16.822433710098267,2025-06-07 13:41:44.974557,0
2,0.6067424,1.4402988,0.19620407,1.4266111,1.0742188,6.5429688,2.0507812,6.5262017250061035,2025-06-07 13:41:51.501181,0
3,0.6067424,1.4402988,3.4620106,1.891029,1.0742188,7.5195312,2.5390625,7.347921133041382,2025-06-07 13:41:58.849471,0
4,0.6067424,1.4402988,5.616691,2.080718,1.0742188,8.691406,3.125,7.885388612747192,2025-06-07 13:42:06.735434,0
5,0.6067424,1.4402988,6.15523,2.448441,1.0742188,9.082031,3.2226562,7.002448558807373,2025-06-07 13:42:13.738327,0
6,0.6067424,1.4402988,6.52472,2.8628078,1.0742188,9.375,3.3203125,6.951730012893677,2025-06-07 13:42:20.690427,0
7,0.6067424,1.4402988,7.4242334,3.1078598,1.0742188,9.863281,3.4179688,7.246239900588989,2025-06-07 13:42:27.937282,0
8,0.6067424,1.4402988,8.30895,3.7890365,1.0742188,10.3515625,4.0039062,8.066826581954956,2025-06-07 13:42:36.004486,0
9,0.63236,1.1685888,10.098205,4.3163724,1.171875,10.839844,4.0039062,7.777455568313599,2025-06-07 13:42:43.782547,0
10,0.6741348,1.2103636,10.813486,4.5004454,1.171875,11.1328125,4.0039062,7.702999591827393,2025-06-07 13:42:51.486067,0
11,0.6741348,1.2103636,13.379671,4.829892,1.171875,11.621094,4.1992188,8.087919473648071,2025-06-07 13:42:59.574373,0
12,0.6741348,1.2103636,13.57585,4.861805,1.171875,11.9140625,4.1992188,8.249443292617798,2025-06-07 13:43:07.824291,0
13,1.0358969,1.6460059,14.985258,5.9501457,1.171875,12.402344,4.296875,8.198870182037354,2025-06-07 13:43:16.023570,0
14,1.0358969,1.6460059,15.784797,5.709422,1.171875,12.597656,4.3945312,8.415472745895386,2025-06-07 13:43:24.439495,0
15,1.0358969,1.6460059,16.069883,5.798951,1.171875,13.183594,4.3945312,8.445139169692993,2025-06-07 13:43:32.885056,0
16,1.0358969,1.9058859,16.93108,6.511592,1.171875,13.4765625,4.4921875,8.393372058868408,2025-06-07 13:43:41.278800,0
17,1.0358969,1.9058859,17.262688,6.591544,1.171875,13.671875,4.4921875,8.211321353912354,2025-06-07 13:43:49.490484,0
18,1.0358969,2.0310845,17.801254,6.3136272,1.171875,13.671875,4.5898438,7.805545806884766,2025-06-07 13:43:57.296423,0
19,1.339641,2.3348286,19.785175,6.276287,1.171875,14.160156,4.7851562,8.606339931488037,2025-06-07 13:44:05.903177,0
20,1.339641,2.3348286,20.195194,6.99543,1.171875,14.160156,4.7851562,8.475686311721802,2025-06-07 13:44:14.379297,0
21,1.339641,2.3348286,20.375572,7.0555105,1.171875,14.2578125,4.7851562,7.800580739974976,2025-06-07 13:44:22.180281,0
22,1.339641,2.3348286,20.582684,5.545124,1.171875,14.453125,4.8828125,8.170618295669556,2025-06-07 13:44:30.351306,0
23,1.8688264,3.5969129,22.624842,7.4829397,1.171875,14.746094,5.078125,8.393760681152344,2025-06-07 13:44:38.745465,0
24,1.8688264,3.5969129,23.37922,7.4829397,1.171875,14.84375,5.078125,8.360366582870483,2025-06-07 13:44:47.106199,0
25,1.8688264,3.5969129,23.173725,6.653137,1.171875,15.0390625,5.1757812,8.462320566177368,2025-06-07 13:44:55.569115,0
26,1.8688264,3.6738577,23.983437,6.41472,1.171875,15.0390625,5.2734375,8.685256481170654,2025-06-07 13:45:04.254792,0
27,1.8688264,3.6738577,25.074564,7.7515965,1.171875,15.136719,5.2734375,8.673707485198975,2025-06-07 13:45:12.929203,0
28,1.8688264,3.8474846,27.645447,10.792888,1.171875,15.234375,5.2734375,8.750155448913574,2025-06-07 13:45:21.679877,0
29,1.8688264,3.8474846,29.711943,12.022815,1.171875,15.234375,5.3710938,8.530341863632202,2025-06-07 13:45:30.210625,0
30,1.8688264,3.8474846,30.634764,12.155976,1.171875,15.4296875,5.3710938,8.654810905456543,2025-06-07 13:45:38.866065,0
