iteration,max_fitness,qd_score1,qd_score2,qd_score3,coverage1,coverage2,coverage3,time,current_time
1,0.5278628,1.852242,-0.07861453,2.9991696,1.6601562,6.25,2.2460938,20.161385536193848,2024-05-07 20:48:16.077143
2,0.5278628,1.8873011,-2.910838,3.83799,1.6601562,8.691406,2.2460938,10.192795515060425,2024-05-07 20:48:26.270314
3,1.1223334,2.8923995,-0.42806083,4.8786817,1.8554688,10.644531,2.5390625,10.445313215255737,2024-05-07 20:48:36.716104
4,1.1223334,3.5237968,2.9090185,5.27842,1.8554688,12.207031,2.734375,10.23629355430603,2024-05-07 20:48:46.952769
5,1.1223334,3.7138913,9.3116865,6.3296556,1.8554688,13.378906,2.9296875,10.434939861297607,2024-05-07 20:48:57.388148
6,1.1223334,3.5751445,11.467877,6.8114595,1.953125,14.84375,3.125,10.41385531425476,2024-05-07 20:49:07.802374
7,1.1223334,3.6606045,14.584567,8.111563,1.953125,15.722656,3.515625,10.440292835235596,2024-05-07 20:49:18.243271
8,1.1223334,3.6606045,17.590927,8.445152,1.953125,16.503906,3.7109375,10.509844779968262,2024-05-07 20:49:28.753482
9,1.1223334,4.3663244,23.966213,9.642532,1.953125,16.992188,3.8085938,10.35936450958252,2024-05-07 20:49:39.113309
10,1.1223334,4.3663244,29.10859,10.267944,1.953125,17.773438,3.8085938,10.281964540481567,2024-05-07 20:49:49.395689
11,1.1223334,4.3663244,31.620487,8.069916,1.953125,18.554688,4.0039062,10.512869596481323,2024-05-07 20:49:59.909117
12,1.1223334,4.496078,30.778435,5.089081,1.953125,19.433594,4.1015625,10.271116018295288,2024-05-07 20:50:10.180645
13,1.1223334,4.538902,33.49563,2.1047797,2.0507812,19.628906,4.296875,10.19562554359436,2024-05-07 20:50:20.376684
14,1.1223334,4.538902,35.75227,2.2788494,2.0507812,20.605469,4.296875,10.322374820709229,2024-05-07 20:50:30.699625
15,1.1223334,4.538902,38.76523,2.8029873,2.0507812,21.191406,4.3945312,10.426711320877075,2024-05-07 20:50:41.126705
16,1.1223334,4.697901,37.5429,3.2717657,2.1484375,21.777344,4.4921875,10.61778211593628,2024-05-07 20:50:51.744874
17,1.3600932,5.266033,40.20311,4.87457,2.1484375,22.070312,4.6875,10.257845401763916,2024-05-07 20:51:02.003237
18,1.3600932,5.9638176,44.966858,6.0553474,2.1484375,22.363281,4.7851562,10.456749677658081,2024-05-07 20:51:12.460357
19,1.3600932,6.1143494,45.297806,6.4026613,2.2460938,22.753906,4.8828125,10.444184303283691,2024-05-07 20:51:22.905042
20,1.3600932,6.1143494,46.145626,6.2375526,2.2460938,23.144531,4.9804688,10.25873875617981,2024-05-07 20:51:33.164193
21,1.3600932,6.1143494,48.06404,6.3550987,2.2460938,23.4375,5.1757812,10.402210235595703,2024-05-07 20:51:43.566815
22,1.3600932,6.252413,48.959923,5.8355904,2.2460938,23.632812,5.46875,10.230034112930298,2024-05-07 20:51:53.797245
23,1.365968,6.496047,52.595795,6.8342743,2.2460938,23.828125,5.46875,10.3502676486969,2024-05-07 20:52:04.147934
24,1.365968,6.496047,56.08429,4.96004,2.2460938,24.023438,5.5664062,10.356149673461914,2024-05-07 20:52:14.504679
25,1.365968,6.496047,58.158047,5.6080666,2.2460938,24.21875,5.6640625,10.50362229347229,2024-05-07 20:52:25.008721
26,1.365968,7.0327907,59.99962,6.2561135,2.2460938,24.316406,5.7617188,10.261322259902954,2024-05-07 20:52:35.270465
27,1.365968,7.0327907,61.534798,3.3772657,2.2460938,24.609375,5.9570312,10.264384984970093,2024-05-07 20:52:45.535456
28,2.1093228,7.7820206,61.41546,1.3034477,2.2460938,24.804688,6.0546875,10.127783298492432,2024-05-07 20:52:55.663609
