iteration,max_fitness,qd_score1,qd_score2,qd_score3,coverage1,coverage2,coverage3,time,current_time,invalid_individuals
1,0.5278628,2.0466576,-0.10559243,-0.66370904,1.7578125,6.3476562,2.0507812,19.92520308494568,2025-06-19 09:41:21.105603,0
2,0.6869867,3.036059,-3.5974991,-1.8816601,1.953125,8.3984375,2.5390625,9.372853755950928,2025-06-19 09:41:30.478790,0
3,0.6869867,4.4161997,3.291481,-2.5416796,1.953125,9.765625,2.8320312,9.896021842956543,2025-06-19 09:41:40.375231,0
4,0.6869867,5.0313873,-2.526497,-8.516895,2.0507812,10.839844,3.0273438,9.525727987289429,2025-06-19 09:41:49.901554,0
5,2.3346128,7.2476616,1.5346026,-2.1730752,2.34375,11.5234375,3.3203125,9.774768829345703,2025-06-19 09:41:59.676719,0
6,2.3346128,8.232131,7.3526626,-0.7297442,2.6367188,12.011719,3.7109375,9.88793683052063,2025-06-19 09:42:09.565169,0
7,2.3346128,8.331682,12.734329,-0.15319967,2.734375,12.207031,3.8085938,9.810181379318237,2025-06-19 09:42:19.375761,0
8,2.3346128,9.178298,16.162584,-1.7921152,2.734375,12.597656,4.1015625,9.393866062164307,2025-06-19 09:42:28.770251,0
9,2.3346128,8.071143,13.870623,-3.1190562,2.9296875,13.28125,4.3945312,9.575071334838867,2025-06-19 09:42:38.345686,0
10,2.3346128,8.060874,22.818567,-4.219556,3.0273438,13.964844,4.6875,9.624554872512817,2025-06-19 09:42:47.970653,0
11,2.3346128,8.350388,29.168938,-3.7623763,3.125,14.2578125,4.7851562,9.765630006790161,2025-06-19 09:42:57.736814,0
12,2.3346128,9.035007,30.862213,-0.22557807,3.2226562,14.453125,4.8828125,9.730180501937866,2025-06-19 09:43:07.467417,0
13,2.3346128,9.6998005,30.710867,-0.8952683,3.3203125,14.746094,5.2734375,10.026187658309937,2025-06-19 09:43:17.494135,0
14,2.3346128,9.828762,28.851475,-0.53882134,3.3203125,15.0390625,5.2734375,10.010289907455444,2025-06-19 09:43:27.504802,0
15,2.3346128,10.025103,27.182795,-0.064323306,3.3203125,15.4296875,5.2734375,9.607517004013062,2025-06-19 09:43:37.112934,0
16,2.3346128,10.525969,28.543747,0.47450387,3.4179688,15.722656,5.46875,9.785757064819336,2025-06-19 09:43:46.899218,0
17,2.3346128,10.103436,27.123562,2.763029,3.515625,15.917969,5.46875,9.55239987373352,2025-06-19 09:43:56.451986,0
18,2.3346128,12.21564,32.21333,3.581314,3.515625,16.210938,5.6640625,9.745417356491089,2025-06-19 09:44:06.197818,0
19,2.4883041,10.664269,35.848297,6.759409,3.8085938,16.699219,5.6640625,9.845315933227539,2025-06-19 09:44:16.043659,0
20,2.4883041,14.023719,37.3096,4.1856527,3.90625,16.894531,5.9570312,9.816213846206665,2025-06-19 09:44:25.860292,0
21,2.4883041,15.845101,37.89266,5.547719,4.0039062,17.1875,6.0546875,9.528793573379517,2025-06-19 09:44:35.389684,0
22,2.4883041,16.236444,40.169495,4.125778,4.1015625,17.382812,6.1523438,9.29539442062378,2025-06-19 09:44:44.685490,0
23,2.4883041,16.52319,40.370636,4.4303026,4.1015625,17.382812,6.3476562,9.604492425918579,2025-06-19 09:44:54.290447,0
24,2.4883041,17.134924,42.159103,7.1562705,4.1015625,17.480469,6.4453125,9.625330686569214,2025-06-19 09:45:03.916181,0
25,2.4883041,17.17812,43.99813,8.351735,4.1992188,17.675781,6.7382812,9.799341917037964,2025-06-19 09:45:13.715925,0
26,2.4883041,17.587063,44.383816,7.257986,4.1992188,17.871094,6.9335938,9.986124515533447,2025-06-19 09:45:23.702666,0
27,2.4883041,20.613195,45.89872,8.917683,4.1992188,17.96875,6.9335938,9.851882696151733,2025-06-19 09:45:33.554915,0
28,2.4883041,20.840637,46.76445,9.4202175,4.1992188,18.359375,7.03125,9.780652523040771,2025-06-19 09:45:43.335938,0
29,2.4883041,20.961298,48.72738,9.574114,4.296875,18.359375,7.03125,9.755356311798096,2025-06-19 09:45:53.091710,0
30,2.4883041,20.88428,49.76751,9.617437,4.4921875,18.359375,7.03125,10.023301362991333,2025-06-19 09:46:03.115894,0
31,2.4883041,20.88428,55.402046,11.3822155,4.4921875,18.359375,7.03125,9.89298391342163,2025-06-19 09:46:13.009288,0
32,2.4883041,21.821161,56.683224,12.454559,4.4921875,18.457031,7.1289062,9.697814702987671,2025-06-19 09:46:22.707479,0
33,2.4883041,22.431866,58.012802,12.609305,4.4921875,18.457031,7.2265625,9.75805377960205,2025-06-19 09:46:32.465946,0
34,2.4883041,19.725407,58.89032,10.386826,4.5898438,18.554688,7.421875,9.688910484313965,2025-06-19 09:46:42.155378,0
35,2.4883041,19.360207,60.028084,9.032219,4.6875,18.554688,7.6171875,9.589707851409912,2025-06-19 09:46:51.745504,0
36,2.4883041,23.035322,60.480873,9.370302,4.6875,18.75,7.8125,9.789238452911377,2025-06-19 09:47:01.535113,0
37,2.4883041,24.256674,63.705223,13.080026,4.7851562,19.042969,8.105469,9.787603855133057,2025-06-19 09:47:11.323086,0
38,2.4883041,24.256674,68.355255,10.305721,4.7851562,19.042969,8.3984375,9.510383129119873,2025-06-19 09:47:20.833837,0
39,2.4883041,24.667969,70.099106,9.860266,4.7851562,19.140625,8.59375,9.812872171401978,2025-06-19 09:47:30.647274,0
40,2.4883041,24.841787,71.51967,10.915182,4.7851562,19.238281,8.7890625,9.918188095092773,2025-06-19 09:47:40.565883,0
41,2.4883041,25.21886,72.28151,10.475314,4.7851562,19.238281,8.886719,9.709240674972534,2025-06-19 09:47:50.275499,0
42,2.4883041,25.240143,72.91106,7.7711654,4.8828125,19.335938,9.1796875,9.915283203125,2025-06-19 09:48:00.191213,0
43,2.4883041,25.970358,74.30972,8.289412,4.8828125,19.335938,9.1796875,9.983892679214478,2025-06-19 09:48:10.175665,0
44,2.4883041,25.970358,74.45088,6.9522963,4.8828125,19.628906,9.277344,9.999947309494019,2025-06-19 09:48:20.176023,0
45,2.4883041,26.291542,76.189545,8.191238,4.9804688,19.628906,9.375,9.988712310791016,2025-06-19 09:48:30.165156,0
46,2.4883041,26.649187,77.7578,5.4796247,4.9804688,19.726562,9.667969,9.722564458847046,2025-06-19 09:48:39.888297,0
