iteration,max_fitness,qd_score1,qd_score2,qd_score3,coverage1,coverage2,coverage3,time,current_time
1,1.0930144,3.1233685,4.8959618,2.4880624,0.78125,5.7617188,2.5390625,19.60837960243225,2024-05-01 21:25:32.565106
2,1.0930144,4.706779,10.584116,3.6395388,1.2695312,7.2265625,2.734375,9.398714303970337,2024-05-01 21:25:41.964180
3,1.0930144,5.2339206,14.187771,4.366302,1.5625,8.203125,2.9296875,9.251153945922852,2024-05-01 21:25:51.215707
4,1.0930144,6.3963537,14.110184,4.46202,1.7578125,9.1796875,3.3203125,9.433072805404663,2024-05-01 21:26:00.649160
5,1.0930144,6.351878,19.821814,4.841891,2.1484375,9.472656,3.4179688,9.440581321716309,2024-05-01 21:26:10.090197
6,1.0930144,7.4783,21.30038,1.9618253,2.5390625,9.863281,3.515625,9.410674095153809,2024-05-01 21:26:19.501239
7,1.104746,7.5105925,24.029936,5.476389,2.8320312,10.839844,3.6132812,9.505671977996826,2024-05-01 21:26:29.007461
8,1.104746,8.005243,25.004221,7.074751,2.9296875,11.1328125,3.6132812,9.645710468292236,2024-05-01 21:26:38.653581
9,1.104746,8.521423,26.203514,7.2680907,3.0273438,12.109375,3.7109375,9.521969318389893,2024-05-01 21:26:48.176005
10,1.104746,9.8189535,28.415047,7.3334675,3.125,12.5,3.7109375,9.626380681991577,2024-05-01 21:26:57.802755
11,1.104746,10.675899,30.87934,7.2566037,3.515625,12.6953125,3.8085938,9.487851619720459,2024-05-01 21:27:07.290995
12,1.104746,11.722541,31.279123,6.975915,3.7109375,12.890625,4.0039062,9.34300947189331,2024-05-01 21:27:16.634381
13,1.104746,12.42514,33.00956,7.2222657,3.90625,13.378906,4.0039062,9.600091218948364,2024-05-01 21:27:26.234995
14,1.104746,14.841337,34.33722,7.6847258,4.296875,13.671875,4.1992188,9.605401992797852,2024-05-01 21:27:35.840794
15,1.104746,15.544678,35.975227,8.57985,4.296875,13.8671875,4.296875,9.87484335899353,2024-05-01 21:27:45.716038
16,1.104746,16.519966,36.744465,8.93107,4.6875,13.964844,4.296875,9.388306140899658,2024-05-01 21:27:55.104714
17,1.104746,16.69527,35.917736,8.93675,4.6875,14.550781,4.296875,9.333504676818848,2024-05-01 21:28:04.438621
18,1.104746,17.120106,37.367264,9.286057,4.7851562,14.746094,4.5898438,9.505657434463501,2024-05-01 21:28:13.944882
19,1.104746,19.387386,39.418392,9.803109,4.8828125,15.0390625,4.5898438,9.623064756393433,2024-05-01 21:28:23.568361
20,1.104746,19.90151,41.076416,9.854324,4.9804688,15.4296875,4.5898438,9.75212574005127,2024-05-01 21:28:33.320910
