iteration,max_fitness,qd_score1,qd_score2,qd_score3,coverage1,coverage2,coverage3,time,current_time,invalid_individuals
1,0.4870985,1.2511544,-0.59715855,2.7109387,2.4414062,5.3710938,1.6601562,8.945486307144165,2025-05-29 09:32:08.363096,0
2,0.4870985,1.2511544,0.79962635,3.133512,2.4414062,7.03125,2.4414062,5.858092784881592,2025-05-29 09:32:14.221592,0
3,0.71174157,2.1756139,3.242611,3.5953526,2.4414062,8.105469,2.6367188,5.861674070358276,2025-05-29 09:32:20.083711,0
4,0.71174157,2.1756139,4.908428,4.39007,2.4414062,8.984375,2.734375,5.859967231750488,2025-05-29 09:32:25.944074,0
5,0.71174157,2.1756139,8.202749,4.9072924,2.4414062,9.5703125,2.9296875,6.035228729248047,2025-05-29 09:32:31.979727,0
6,0.71174157,2.1756139,10.003576,5.273944,2.4414062,10.7421875,3.0273438,6.0911455154418945,2025-05-29 09:32:38.071707,0
7,0.71174157,2.1756139,13.000925,5.547415,2.4414062,11.425781,3.0273438,6.193180799484253,2025-05-29 09:32:44.265282,0
8,0.72799224,2.1918647,15.637184,5.8322773,2.4414062,11.816406,3.125,5.9534735679626465,2025-05-29 09:32:50.219168,0
9,0.72799224,2.1918647,16.369982,6.197366,2.4414062,12.011719,3.125,6.1167566776275635,2025-05-29 09:32:56.336344,0
10,0.72799224,2.1918647,18.584106,6.3899584,2.4414062,12.207031,3.3203125,6.190925359725952,2025-05-29 09:33:02.527725,0
11,0.72799224,2.1918647,20.973497,6.908782,2.4414062,12.5,3.4179688,6.40714693069458,2025-05-29 09:33:08.935293,0
12,0.72799224,2.1918647,21.605938,7.038918,2.4414062,12.890625,3.515625,6.083985805511475,2025-05-29 09:33:15.019680,0
13,0.72799224,2.1918647,23.108646,7.3699327,2.4414062,13.0859375,3.515625,6.2552549839019775,2025-05-29 09:33:21.275407,0
14,0.72799224,2.1918647,23.564554,7.6095467,2.4414062,13.0859375,3.6132812,6.1455583572387695,2025-05-29 09:33:27.421367,0
15,0.72799224,2.1918647,24.48985,7.744171,2.4414062,13.28125,3.6132812,6.337651968002319,2025-05-29 09:33:33.759499,0
16,0.72799224,2.2500408,25.64933,7.9934335,2.4414062,13.28125,3.6132812,6.095288515090942,2025-05-29 09:33:39.855197,0
17,0.72799224,2.2500408,26.549927,8.126286,2.4414062,13.574219,3.6132812,6.1409080028533936,2025-05-29 09:33:45.996520,0
18,0.72799224,2.2500408,26.394213,7.095101,2.4414062,13.8671875,3.7109375,6.322884559631348,2025-05-29 09:33:52.319976,0
19,0.72799224,2.2500408,27.255861,7.574262,2.4414062,14.160156,3.8085938,6.0607404708862305,2025-05-29 09:33:58.381099,0
20,0.72799224,2.2500408,27.50476,7.771208,2.4414062,14.6484375,3.8085938,6.44416618347168,2025-05-29 09:34:04.825681,0
21,0.72799224,2.2500408,28.813023,7.9050136,2.4414062,14.84375,3.8085938,6.361788988113403,2025-05-29 09:34:11.187916,0
22,0.72799224,2.2500408,29.320421,7.915579,2.4414062,14.941406,3.8085938,6.280874252319336,2025-05-29 09:34:17.469184,0
23,0.72799224,2.2500408,29.966795,8.090008,2.4414062,15.136719,3.8085938,6.326933860778809,2025-05-29 09:34:23.796503,0
24,0.72799224,2.2500408,29.923737,8.090008,2.4414062,15.234375,3.8085938,6.319709062576294,2025-05-29 09:34:30.116702,0
25,0.72799224,2.2500408,30.371067,8.093024,2.4414062,15.625,3.8085938,6.177168369293213,2025-05-29 09:34:36.294259,0
26,0.72799224,2.2500408,31.664248,8.250237,2.4414062,15.722656,3.8085938,6.267272233963013,2025-05-29 09:34:42.561965,0
27,0.72799224,2.2500408,32.35785,8.382031,2.4414062,16.210938,3.8085938,6.1843342781066895,2025-05-29 09:34:48.746755,0
28,0.72799224,2.2500408,33.523037,8.437193,2.4414062,16.308594,3.8085938,6.086384534835815,2025-05-29 09:34:54.833576,0
29,0.72799224,2.2500408,33.633453,8.5151,2.4414062,16.40625,3.8085938,6.358333587646484,2025-05-29 09:35:01.192317,0
30,0.72799224,2.2500408,33.48124,7.7909155,2.4414062,16.503906,3.90625,6.322691202163696,2025-05-29 09:35:07.515398,0
31,0.72799224,2.2500408,35.296898,7.8082094,2.4414062,16.503906,3.90625,6.419421672821045,2025-05-29 09:35:13.935224,0
32,0.72799224,2.2500408,35.838455,7.8082094,2.4414062,16.699219,3.90625,6.328240633010864,2025-05-29 09:35:20.263882,0
33,0.72799224,2.2500408,36.648212,7.8823833,2.4414062,16.992188,3.90625,6.424788475036621,2025-05-29 09:35:26.689065,0
34,0.72799224,2.2500408,37.004036,8.057782,2.4414062,17.089844,3.90625,6.363143682479858,2025-05-29 09:35:33.052697,0
35,0.72799224,2.2500408,37.97271,8.445119,2.4414062,17.285156,3.90625,6.45060133934021,2025-05-29 09:35:39.503707,0
36,0.72799224,2.2500408,38.565536,8.4677925,2.4414062,17.285156,3.90625,6.35201621055603,2025-05-29 09:35:45.856120,0
37,0.72799224,2.2500408,38.651196,8.475455,2.4414062,17.285156,3.90625,6.366658449172974,2025-05-29 09:35:52.223173,0
38,0.72799224,2.2500408,39.106113,8.058598,2.4414062,17.382812,4.0039062,6.368176221847534,2025-05-29 09:35:58.591757,0
39,0.72799224,2.2500408,38.09395,7.001885,2.4414062,17.675781,4.1015625,6.411900281906128,2025-05-29 09:36:05.004044,0
40,0.72799224,2.2500408,38.2431,7.0040245,2.4414062,17.871094,4.1015625,6.3688061237335205,2025-05-29 09:36:11.373245,0
41,0.72799224,2.2500408,38.35558,7.1279716,2.4414062,17.96875,4.1015625,6.1851420402526855,2025-05-29 09:36:17.558785,0
42,0.72799224,2.2500408,38.878685,7.1279716,2.4414062,18.066406,4.1015625,6.4242188930511475,2025-05-29 09:36:23.983447,0
43,0.72799224,2.2500408,39.098457,6.583797,2.4414062,18.066406,4.1992188,6.15191650390625,2025-05-29 09:36:30.135854,0
44,0.72799224,2.2500408,39.305763,5.505696,2.4414062,18.164062,4.296875,6.3222620487213135,2025-05-29 09:36:36.458531,0
45,0.72799224,2.2500408,39.520744,4.2041497,2.4414062,18.261719,4.4921875,6.424977540969849,2025-05-29 09:36:42.883940,0
46,0.72799224,2.2500408,39.389225,3.5336993,2.4414062,18.359375,4.6875,6.349822998046875,2025-05-29 09:36:49.234152,0
47,0.72799224,2.2500408,41.448532,3.6009526,2.4414062,18.359375,4.6875,6.2049267292022705,2025-05-29 09:36:55.439516,0
48,0.72799224,2.2500408,41.887688,3.6752274,2.4414062,18.457031,4.6875,6.267788410186768,2025-05-29 09:37:01.707759,0
49,0.72799224,2.2500408,41.96205,3.7581506,2.4414062,18.554688,4.6875,6.398767709732056,2025-05-29 09:37:08.106922,0
50,0.72799224,2.2500408,41.86323,3.803535,2.4414062,18.945312,4.7851562,6.5122153759002686,2025-05-29 09:37:14.619578,0
51,0.72799224,2.2500408,42.136536,3.8298934,2.4414062,18.945312,4.7851562,6.412379026412964,2025-05-29 09:37:21.032346,0
52,0.72799224,2.2500408,42.63818,3.0470407,2.4414062,19.335938,4.8828125,6.3477935791015625,2025-05-29 09:37:27.380531,0
