iteration,max_fitness,qd_score1,qd_score2,qd_score3,coverage1,coverage2,coverage3,time,current_time
1,0.82501584,2.6943116,3.4645607,3.7852051,0.9765625,4.8828125,1.6601562,17.216570377349854,2024-05-03 08:11:20.979410
2,0.82501584,2.7506118,4.6958685,4.309167,0.9765625,5.9570312,1.953125,6.690456867218018,2024-05-03 08:11:27.670340
3,0.82501584,2.7506118,5.2359285,4.4204946,0.9765625,7.3242188,2.34375,8.665235042572021,2024-05-03 08:11:36.336516
4,0.82501584,2.7506118,5.1039124,4.8042984,0.9765625,8.300781,2.8320312,9.006709575653076,2024-05-03 08:11:45.344031
5,0.82501584,2.7506118,6.2104826,4.9087877,0.9765625,8.886719,3.125,8.8800048828125,2024-05-03 08:11:54.224477
6,0.82501584,2.7506118,6.4409456,5.0247498,0.9765625,9.5703125,3.515625,8.588282585144043,2024-05-03 08:12:02.813448
7,0.82501584,2.2480888,6.515338,5.2349453,1.0742188,10.253906,3.7109375,9.421049356460571,2024-05-03 08:12:12.235289
8,0.82501584,2.2480888,8.448576,5.427972,1.0742188,10.449219,3.7109375,9.13064455986023,2024-05-03 08:12:21.366481
9,0.82501584,2.2480888,10.36541,5.6690784,1.0742188,11.035156,3.7109375,9.209531307220459,2024-05-03 08:12:30.576535
10,0.82501584,2.2480888,11.66773,5.719075,1.0742188,11.5234375,3.7109375,9.146546602249146,2024-05-03 08:12:39.723565
11,0.82501584,2.2480888,13.325352,5.8392286,1.0742188,12.011719,3.7109375,9.445984363555908,2024-05-03 08:12:49.170035
12,0.82501584,2.5957575,14.5282135,6.15077,1.171875,12.402344,3.7109375,9.521298885345459,2024-05-03 08:12:58.691965
13,0.82501584,2.5957575,16.266882,6.2039776,1.171875,12.890625,3.7109375,9.300003051757812,2024-05-03 08:13:07.992407
14,0.82501584,2.5957575,16.827963,6.310701,1.171875,13.0859375,3.8085938,9.505669116973877,2024-05-03 08:13:17.498831
15,0.82501584,2.6054943,17.94863,6.4491086,1.171875,13.0859375,3.8085938,9.374546527862549,2024-05-03 08:13:26.874204
16,0.82501584,2.7164872,18.837212,6.8944826,1.2695312,13.4765625,3.8085938,9.470969915390015,2024-05-03 08:13:36.345739
17,0.82501584,2.7313528,20.571274,6.911332,1.2695312,13.8671875,3.8085938,9.445881128311157,2024-05-03 08:13:45.792070
18,0.82501584,2.7313528,21.198227,6.994004,1.2695312,14.2578125,3.8085938,9.021480083465576,2024-05-03 08:13:54.814023
19,0.82501584,2.7313528,21.745033,7.163403,1.2695312,14.550781,3.8085938,9.553810358047485,2024-05-03 08:14:04.368601
20,0.82501584,2.7313528,23.261097,7.319976,1.2695312,14.84375,3.90625,9.545042991638184,2024-05-03 08:14:13.914281
21,0.82501584,2.7929673,24.01463,7.5402746,1.2695312,15.0390625,4.0039062,9.40004014968872,2024-05-03 08:14:23.314803
22,0.82501584,2.7929673,24.563835,7.8027916,1.2695312,15.4296875,4.0039062,9.60465383529663,2024-05-03 08:14:32.919917
23,0.82501584,2.7929673,25.046928,8.181371,1.2695312,15.4296875,4.1015625,9.44690990447998,2024-05-03 08:14:42.367267
24,0.82501584,2.7929673,26.166399,8.177549,1.2695312,15.625,4.1992188,9.14895486831665,2024-05-03 08:14:51.516879
25,0.82501584,2.7929673,25.9577,8.131489,1.2695312,15.722656,4.296875,9.405312299728394,2024-05-03 08:15:00.922646
26,0.82501584,2.8445654,26.86814,8.253572,1.2695312,15.917969,4.296875,9.744476795196533,2024-05-03 08:15:10.667627
27,0.82501584,3.1274085,27.80198,8.573019,1.3671875,16.308594,4.296875,9.694486856460571,2024-05-03 08:15:20.362585
28,0.82501584,3.457657,29.278343,8.84039,1.3671875,16.601562,4.296875,9.33014988899231,2024-05-03 08:15:29.693584
29,0.82501584,3.457657,29.622337,9.073299,1.3671875,16.894531,4.296875,9.6277916431427,2024-05-03 08:15:39.321865
30,0.82501584,3.457657,29.939465,9.082434,1.3671875,17.1875,4.296875,9.491086721420288,2024-05-03 08:15:48.813667
