iteration,max_fitness,qd_score1,qd_score2,qd_score3,coverage1,coverage2,coverage3,time,current_time,invalid_individuals
1,0.9405533,3.026198,-32.029366,-21.99001,1.0742188,6.9335938,3.0273438,27.313834190368652,2024-06-24 21:57:31.631866,0
2,0.9405533,4.3293257,-30.55984,-27.293613,1.2695312,9.082031,3.2226562,17.859857082366943,2024-06-24 21:57:49.492232,0
3,0.9894195,4.824899,-19.15861,-26.12072,1.4648438,10.644531,3.515625,18.484917402267456,2024-06-24 21:58:07.977625,0
4,0.9894195,3.0039425,-12.412264,-29.204458,1.6601562,12.011719,3.8085938,18.490551948547363,2024-06-24 21:58:26.468884,0
5,1.1565212,3.4170933,0.29100418,-29.698067,1.7578125,13.574219,4.5898438,17.21344232559204,2024-06-24 21:58:43.682736,0
6,1.1565212,3.42237,-7.569511,-38.03176,1.7578125,14.6484375,5.078125,16.782565116882324,2024-06-24 21:59:00.465827,0
7,1.2885038,4.636619,-8.706388,-43.09478,1.7578125,15.332031,5.46875,17.326252698898315,2024-06-24 21:59:17.792489,0
8,1.2885038,4.729357,-3.897439,-45.233147,1.8554688,16.40625,5.5664062,18.32493305206299,2024-06-24 21:59:36.118000,0
9,1.2885038,4.729357,-9.877399,-41.26669,1.8554688,17.480469,5.6640625,16.690910577774048,2024-06-24 21:59:52.809313,0
10,1.2892516,4.8233852,-4.3263683,-45.756893,1.8554688,17.871094,5.9570312,17.71933364868164,2024-06-24 22:00:10.529070,0
11,1.2892516,4.498267,-2.5702553,-45.46746,1.953125,17.96875,6.0546875,16.847498655319214,2024-06-24 22:00:27.376959,0
12,1.2892516,5.6449337,-1.6770027,-45.524864,1.953125,18.554688,6.25,16.135772705078125,2024-06-24 22:00:43.513101,0
13,1.2892516,5.727325,8.459063,-46.97228,1.953125,19.238281,6.3476562,16.147190809249878,2024-06-24 22:00:59.660683,0
14,1.2892516,5.727325,11.197659,-46.8759,1.953125,19.824219,6.3476562,18.034392833709717,2024-06-24 22:01:17.695441,0
15,1.2892516,4.3875623,12.11675,-42.01082,2.0507812,20.507812,6.640625,17.097642421722412,2024-06-24 22:01:34.793634,0
16,1.350051,4.581092,15.151785,-47.20845,2.0507812,20.898438,6.8359375,17.47123432159424,2024-06-24 22:01:52.265394,0
17,1.350051,4.733513,21.338839,-50.21712,2.0507812,21.289062,6.9335938,17.803362607955933,2024-06-24 22:02:10.069175,0
18,1.350051,5.0571713,20.766457,-49.169586,2.0507812,21.777344,6.9335938,16.44773030281067,2024-06-24 22:02:26.517313,0
19,1.350051,5.0571713,25.48471,-48.74791,2.0507812,22.070312,6.9335938,17.771471977233887,2024-06-24 22:02:44.289240,0
20,1.350051,5.5396457,28.006365,-48.44318,2.0507812,22.460938,6.9335938,17.19611358642578,2024-06-24 22:03:01.485773,0
21,1.350051,3.2353265,28.536682,-50.565334,2.1484375,22.851562,7.03125,16.919346570968628,2024-06-24 22:03:18.405676,0
22,1.3795105,3.7793922,27.926014,-58.43361,2.1484375,23.046875,7.6171875,16.360381364822388,2024-06-24 22:03:34.766618,0
23,1.3795105,3.7793922,30.1242,-58.36299,2.1484375,23.632812,7.6171875,16.858105182647705,2024-06-24 22:03:51.625323,0
24,1.3795105,3.9937258,33.483032,-61.632496,2.1484375,23.730469,7.8125,17.191908836364746,2024-06-24 22:04:08.817654,0
25,3.4089863,7.146119,37.75289,-63.33831,2.34375,23.925781,8.0078125,17.220800161361694,2024-06-24 22:04:26.038865,0
26,3.4089863,7.146119,41.928745,-62.732098,2.34375,24.414062,8.0078125,18.254964351654053,2024-06-24 22:04:44.294200,0
27,3.4089863,7.146119,47.37507,-74.120155,2.34375,24.707031,8.3984375,17.851881742477417,2024-06-24 22:05:02.146485,0
28,3.4089863,7.146119,44.643112,-75.67255,2.34375,25.0,8.496094,17.55053424835205,2024-06-24 22:05:19.697446,0
29,3.4089863,7.146119,45.87656,-82.92209,2.34375,25.292969,8.7890625,17.448079586029053,2024-06-24 22:05:37.145930,0
30,3.4089863,7.146119,43.86537,-88.952225,2.34375,25.488281,8.886719,16.91173005104065,2024-06-24 22:05:54.058157,0
31,3.4089863,4.465621,44.939056,-95.989944,2.4414062,25.488281,9.1796875,16.349073886871338,2024-06-24 22:06:10.407649,0
32,3.4089863,4.465621,47.925133,-92.00711,2.4414062,25.683594,9.1796875,16.779103755950928,2024-06-24 22:06:27.187308,0
33,3.4089863,4.5770836,50.592163,-89.64534,2.4414062,25.78125,9.1796875,16.971755504608154,2024-06-24 22:06:44.159452,0
34,3.4089863,7.855383,49.749046,-85.198845,2.4414062,26.074219,9.1796875,16.706788301467896,2024-06-24 22:07:00.866699,0
35,3.4089863,7.8708153,52.3094,-84.843956,2.4414062,26.660156,9.1796875,17.37340211868286,2024-06-24 22:07:18.240679,0
36,3.4089863,4.469372,58.209564,-90.75592,2.5390625,26.660156,9.375,16.891595363616943,2024-06-24 22:07:35.132732,0
37,3.4089863,8.612612,61.948853,-89.42456,2.5390625,26.757812,9.472656,16.845762014389038,2024-06-24 22:07:51.979104,0
38,3.4089863,11.146278,63.53655,-86.207245,2.5390625,26.855469,9.667969,16.924837112426758,2024-06-24 22:08:08.904302,0
39,3.4089863,8.376786,64.67147,-85.582565,2.6367188,26.953125,9.667969,18.185778379440308,2024-06-24 22:08:27.090446,0
40,3.4089863,9.103975,67.150925,-85.54013,2.6367188,27.148438,9.667969,17.3736834526062,2024-06-24 22:08:44.464542,0
41,3.4089863,6.688628,68.62815,-83.48583,2.8320312,27.441406,9.667969,17.320852279663086,2024-06-24 22:09:01.785814,0
42,3.4089863,10.303512,70.719025,-83.259315,2.8320312,27.636719,9.667969,16.952545642852783,2024-06-24 22:09:18.738781,0
43,3.4089863,11.070092,72.89472,-80.71564,2.8320312,27.636719,9.667969,17.658010005950928,2024-06-24 22:09:36.397342,0
44,3.4089863,11.070092,72.396164,-80.58843,2.8320312,27.929688,9.667969,16.4518940448761,2024-06-24 22:09:52.849660,0
45,3.4089863,14.648017,74.5621,-93.590485,2.8320312,28.125,9.9609375,17.371696949005127,2024-06-24 22:10:10.221760,0
46,3.4089863,14.971535,79.829384,-96.61566,2.9296875,28.125,10.15625,18.168715715408325,2024-06-24 22:10:28.390874,0
47,3.4089863,14.971535,81.54398,-97.66913,2.9296875,28.320312,10.3515625,16.817911863327026,2024-06-24 22:10:45.209245,0
48,3.4089863,14.971535,87.880005,-97.024506,2.9296875,28.417969,10.3515625,17.471875429153442,2024-06-24 22:11:02.681540,0
49,3.4089863,15.076244,93.8921,-94.55777,2.9296875,28.613281,10.546875,17.60131859779358,2024-06-24 22:11:20.283271,0
50,3.4089863,15.223541,95.45251,-90.42676,2.9296875,28.613281,10.644531,17.033750295639038,2024-06-24 22:11:37.317523,0
51,3.4089863,15.223541,95.43542,-89.844864,2.9296875,28.90625,10.644531,18.14443016052246,2024-06-24 22:11:55.462359,0
52,3.4089863,15.223541,97.16081,-95.62536,2.9296875,29.101562,10.839844,17.83154582977295,2024-06-24 22:12:13.294314,0
53,3.4089863,15.223726,100.40689,-95.62536,2.9296875,29.589844,10.839844,18.942611932754517,2024-06-24 22:12:32.237345,0
54,3.4089863,15.223726,101.89027,-97.36509,2.9296875,29.785156,10.9375,16.38059902191162,2024-06-24 22:12:48.618570,0
55,3.4089863,15.223726,104.749756,-106.65788,2.9296875,29.785156,11.230469,16.306419134140015,2024-06-24 22:13:04.925549,0
56,3.4089863,15.640835,105.69075,-106.65788,2.9296875,29.980469,11.230469,19.099267959594727,2024-06-24 22:13:24.025249,0
57,3.4089863,16.041325,107.21759,-105.93497,2.9296875,30.175781,11.328125,16.399843215942383,2024-06-24 22:13:40.425523,0
58,3.4089863,16.454344,111.18051,-108.1328,2.9296875,30.273438,11.5234375,17.483036994934082,2024-06-24 22:13:57.908964,0
59,3.4089863,16.56262,112.59816,-108.200226,2.9296875,30.273438,11.71875,18.67446732521057,2024-06-24 22:14:16.584014,0
60,3.4089863,16.61068,113.83689,-105.498924,2.9296875,30.566406,11.816406,17.797281503677368,2024-06-24 22:14:34.381891,0
61,3.4089863,16.61068,116.30577,-105.14304,2.9296875,30.859375,11.9140625,18.452975749969482,2024-06-24 22:14:52.835444,0
62,3.4089863,16.61068,118.35068,-108.63295,2.9296875,30.957031,12.109375,16.898033142089844,2024-06-24 22:15:09.733925,0
63,3.4089863,16.73116,119.63852,-110.14563,2.9296875,31.25,12.3046875,17.191550970077515,2024-06-24 22:15:26.925923,0
64,3.4089863,16.750946,121.25398,-119.31843,2.9296875,31.347656,12.890625,16.6393883228302,2024-06-24 22:15:43.565717,0
65,3.4089863,17.603245,125.51862,-122.11968,2.9296875,31.445312,12.988281,16.190228700637817,2024-06-24 22:15:59.756358,0
66,3.4089863,17.603245,126.67202,-122.11968,2.9296875,31.445312,12.988281,16.971160650253296,2024-06-24 22:16:16.728206,0
67,3.4089863,20.993813,126.873535,-128.35573,3.0273438,31.445312,13.183594,17.85393238067627,2024-06-24 22:16:34.582525,0
68,3.4089863,20.993813,125.15193,-132.09879,3.0273438,31.640625,13.378906,17.599611043930054,2024-06-24 22:16:52.182676,0
69,3.4089863,18.29081,126.501366,-132.24722,3.125,31.835938,13.4765625,17.621663331985474,2024-06-24 22:17:09.804910,0
70,3.4089863,18.353737,128.65363,-141.50894,3.125,31.933594,13.964844,16.348865747451782,2024-06-24 22:17:26.154169,0
71,3.4089863,18.353737,129.02382,-141.46426,3.125,31.933594,14.0625,17.41007161140442,2024-06-24 22:17:43.564806,0
72,3.4089863,18.353737,129.63351,-143.05972,3.125,32.128906,14.2578125,16.851654767990112,2024-06-24 22:18:00.417069,0
73,3.4089863,18.373783,131.16699,-143.05972,3.125,32.226562,14.2578125,15.78023624420166,2024-06-24 22:18:16.197696,0
74,3.4089863,18.694036,131.31067,-152.6518,3.125,32.226562,14.453125,15.830804586410522,2024-06-24 22:18:32.028911,0
75,3.4089863,18.751738,132.03938,-151.98767,3.125,32.32422,14.453125,19.004196166992188,2024-06-24 22:18:51.033497,0
76,3.4089863,18.770718,134.21103,-149.32971,3.125,32.421875,14.6484375,18.19739818572998,2024-06-24 22:19:09.231354,0
77,3.4089863,21.564377,136.54163,-148.31696,3.125,32.51953,14.6484375,17.06835675239563,2024-06-24 22:19:26.300266,0
78,3.4089863,21.564377,142.59528,-147.70311,3.125,32.617188,14.84375,17.562510013580322,2024-06-24 22:19:43.863168,0
79,3.4089863,21.853008,144.50328,-146.52563,3.125,32.617188,14.941406,17.561248064041138,2024-06-24 22:20:01.425110,0
80,3.4089863,21.853008,145.21133,-148.7469,3.125,32.714844,15.0390625,17.120171308517456,2024-06-24 22:20:18.545670,0
81,3.4089863,21.853008,145.46655,-148.32361,3.125,32.8125,15.0390625,17.81463932991028,2024-06-24 22:20:36.360894,0
82,3.4089863,21.853008,147.25069,-147.16043,3.125,32.8125,15.136719,17.823903799057007,2024-06-24 22:20:54.185163,0
83,3.4089863,22.343977,148.46556,-151.02869,3.125,32.8125,15.234375,17.840632677078247,2024-06-24 22:21:12.026236,0
84,3.4089863,22.343977,149.87083,-149.75842,3.125,32.910156,15.234375,15.99792218208313,2024-06-24 22:21:28.024560,0
85,3.4089863,22.343977,150.33972,-145.76666,3.125,32.910156,15.234375,17.33266019821167,2024-06-24 22:21:45.357802,0
86,3.4089863,22.343977,150.9798,-145.72475,3.125,33.10547,15.234375,18.212645769119263,2024-06-24 22:22:03.571029,0
87,3.4089863,22.400784,152.31792,-144.80307,3.125,33.203125,15.332031,17.779685497283936,2024-06-24 22:22:21.351134,0
88,3.4089863,22.400784,153.85117,-143.74576,3.125,33.30078,15.4296875,18.422624111175537,2024-06-24 22:22:39.774254,0
89,3.4089863,22.473804,154.41115,-143.00041,3.2226562,33.398438,15.4296875,17.643138647079468,2024-06-24 22:22:57.417940,0
90,3.4089863,22.473804,158.17068,-139.89294,3.2226562,33.398438,15.4296875,16.798511028289795,2024-06-24 22:23:14.217005,0
91,3.4089863,22.473804,158.62656,-138.15001,3.2226562,33.496094,15.4296875,17.43130111694336,2024-06-24 22:23:31.648679,0
92,3.4089863,22.759815,160.43011,-137.99414,3.2226562,33.691406,15.4296875,16.87526535987854,2024-06-24 22:23:48.524610,0
93,3.4089863,22.759815,158.52272,-134.84605,3.2226562,33.789062,15.4296875,17.862556219100952,2024-06-24 22:24:06.387613,0
94,3.4089863,22.759815,161.92291,-132.24672,3.2226562,33.88672,15.527344,17.786644220352173,2024-06-24 22:24:24.174941,0
95,3.4089863,23.797344,163.57579,-128.85487,3.2226562,33.984375,15.625,17.231700897216797,2024-06-24 22:24:41.407076,0
96,3.4089863,23.797344,164.68503,-128.8418,3.2226562,34.08203,15.625,17.351600408554077,2024-06-24 22:24:58.759065,0
97,3.4089863,23.797344,166.7346,-127.14891,3.2226562,34.179688,15.625,16.74815320968628,2024-06-24 22:25:15.507822,0
98,3.4089863,24.307516,168.55856,-120.004684,3.3203125,34.179688,15.625,17.809411764144897,2024-06-24 22:25:33.317600,0
99,3.4089863,24.307516,170.67352,-118.8261,3.3203125,34.179688,15.722656,17.987024068832397,2024-06-24 22:25:51.305030,0
100,3.4089863,24.612072,172.10957,-118.8261,3.3203125,34.277344,15.722656,16.431097269058228,2024-06-24 22:26:07.736835,0
101,3.4089863,24.672447,172.74312,-118.760284,3.3203125,34.375,15.722656,17.247260570526123,2024-06-24 22:26:24.984460,0
102,3.4089863,24.672447,176.84966,-121.39108,3.3203125,34.375,15.8203125,17.36426067352295,2024-06-24 22:26:42.349084,0
103,3.4089863,24.672447,178.3581,-121.39108,3.3203125,34.472656,15.8203125,17.3426570892334,2024-06-24 22:26:59.692213,0
104,3.4089863,24.672447,178.49823,-121.1646,3.3203125,34.472656,15.8203125,17.999368906021118,2024-06-24 22:27:17.692033,0
105,3.4089863,24.672447,180.29477,-121.71486,3.3203125,34.570312,16.015625,17.297839164733887,2024-06-24 22:27:34.990323,0
106,3.4089863,24.672447,181.91412,-121.30852,3.3203125,34.570312,16.015625,16.298322916030884,2024-06-24 22:27:51.289044,0
107,3.4089863,24.93898,182.17763,-121.30852,3.4179688,34.570312,16.015625,17.60808563232422,2024-06-24 22:28:08.897501,0
108,3.4089863,24.93898,188.29935,-116.03403,3.4179688,34.765625,16.015625,17.458754062652588,2024-06-24 22:28:26.356661,0
109,3.4089863,24.923332,186.30984,-115.95355,3.515625,34.960938,16.210938,18.113484382629395,2024-06-24 22:28:44.470716,0
110,3.4089863,24.923332,187.98447,-113.46819,3.515625,34.960938,16.210938,16.4206383228302,2024-06-24 22:29:00.891754,0
111,3.4089863,25.072739,189.07056,-113.46819,3.515625,35.058594,16.210938,17.98523998260498,2024-06-24 22:29:18.877390,0
112,3.4089863,25.329773,188.0885,-107.20584,3.515625,35.253906,16.210938,18.006427526474,2024-06-24 22:29:36.884225,0
113,3.4089863,25.329773,189.19652,-107.10312,3.515625,35.44922,16.308594,17.759273052215576,2024-06-24 22:29:54.644080,0
114,3.4089863,25.329773,189.37485,-107.10312,3.515625,35.44922,16.308594,17.25481128692627,2024-06-24 22:30:11.899413,0
115,3.4089863,25.329773,192.13382,-106.07523,3.515625,35.546875,16.308594,17.240342140197754,2024-06-24 22:30:29.140116,0
116,3.4089863,25.583336,194.94371,-103.44857,3.515625,35.9375,16.308594,16.67261552810669,2024-06-24 22:30:45.813095,0
117,3.4089863,25.675194,195.7573,-100.67345,3.515625,35.9375,16.308594,17.29558253288269,2024-06-24 22:31:03.109149,0
118,3.4089863,26.097277,197.72272,-98.91708,3.515625,35.9375,16.308594,17.360435485839844,2024-06-24 22:31:20.469987,0
119,3.4089863,26.138535,198.14038,-99.11444,3.515625,36.035156,16.503906,18.054934978485107,2024-06-24 22:31:38.525347,0
120,3.4089863,26.138535,201.1641,-97.796646,3.515625,36.035156,16.503906,17.344700813293457,2024-06-24 22:31:55.870479,0
121,3.4089863,26.138535,202.7429,-97.76616,3.515625,36.035156,16.503906,17.6658673286438,2024-06-24 22:32:13.536753,0
122,3.4089863,26.138535,202.89774,-97.48746,3.515625,36.035156,16.503906,17.337153673171997,2024-06-24 22:32:30.874268,0
123,3.4089863,26.138535,202.1814,-97.32524,3.515625,36.132812,16.503906,18.23237109184265,2024-06-24 22:32:49.107065,0
124,3.4089863,26.138535,202.75298,-95.233665,3.515625,36.23047,16.503906,18.393925666809082,2024-06-24 22:33:07.501383,0
125,3.4089863,26.518837,203.23389,-95.155945,3.515625,36.328125,16.503906,18.150823831558228,2024-06-24 22:33:25.652629,0
126,3.4089863,26.518837,205.22691,-94.51644,3.515625,36.328125,16.503906,17.54557704925537,2024-06-24 22:33:43.198562,0
127,3.4089863,26.518837,206.85046,-94.49594,3.515625,36.328125,16.503906,16.46670150756836,2024-06-24 22:33:59.665648,0
128,3.4089863,26.518837,207.99872,-97.43715,3.515625,36.42578,16.601562,16.36638379096985,2024-06-24 22:34:16.032444,0
129,3.4089863,27.161293,209.00037,-96.48499,3.6132812,36.621094,16.601562,16.40361213684082,2024-06-24 22:34:32.436461,0
130,3.4089863,27.161293,210.81119,-96.03755,3.6132812,36.816406,16.699219,16.712214708328247,2024-06-24 22:34:49.149040,0
131,3.4089863,27.161293,212.25832,-95.99861,3.6132812,37.01172,16.796875,18.57956576347351,2024-06-24 22:35:07.729005,0
132,3.4089863,27.161293,214.52568,-99.827385,3.6132812,37.109375,16.894531,18.606722116470337,2024-06-24 22:35:26.336101,0
133,3.4089863,27.161293,215.17831,-99.827385,3.6132812,37.109375,16.894531,17.62915539741516,2024-06-24 22:35:43.965691,0
134,3.4089863,27.161293,215.43257,-99.67198,3.6132812,37.20703,16.894531,17.4585120677948,2024-06-24 22:36:01.424607,0
135,3.4089863,27.161293,220.12424,-96.95253,3.6132812,37.20703,16.894531,19.04040765762329,2024-06-24 22:36:20.465421,0
136,3.4089863,27.3145,220.71194,-96.95253,3.6132812,37.304688,16.894531,17.232264518737793,2024-06-24 22:36:37.698117,0
137,3.4089863,27.3145,222.28186,-96.51712,3.6132812,37.304688,16.894531,17.376708507537842,2024-06-24 22:36:55.075379,0
138,3.4089863,27.3145,222.277,-92.680756,3.6132812,37.5,16.894531,18.22593116760254,2024-06-24 22:37:13.301760,0
139,3.4089863,27.3145,225.7621,-92.680756,3.6132812,37.695312,16.894531,16.719109773635864,2024-06-24 22:37:30.021278,0
140,3.4089863,27.3145,226.63754,-92.708046,3.6132812,37.695312,16.992188,17.72366714477539,2024-06-24 22:37:47.745362,0
141,3.4089863,27.3145,228.55634,-90.93797,3.6132812,37.695312,16.992188,18.079947233200073,2024-06-24 22:38:05.825884,0
142,3.4089863,27.3145,229.46767,-90.93797,3.6132812,37.79297,16.992188,18.327534675598145,2024-06-24 22:38:24.153920,0
143,3.5890756,27.49459,234.82944,-87.56779,3.6132812,37.890625,16.992188,18.331430196762085,2024-06-24 22:38:42.486053,0
144,3.5890756,27.49459,237.39838,-84.33089,3.6132812,37.890625,16.992188,17.482641220092773,2024-06-24 22:38:59.969103,0
145,3.5890756,27.49459,238.24475,-83.35468,3.6132812,37.98828,16.992188,18.312896013259888,2024-06-24 22:39:18.282393,0
146,3.5890756,28.038977,239.49066,-78.42607,3.6132812,38.085938,16.992188,18.254258394241333,2024-06-24 22:39:36.537202,0
147,3.5890756,28.038977,239.93622,-78.746216,3.6132812,38.085938,17.089844,17.64930295944214,2024-06-24 22:39:54.186926,0
148,3.5890756,28.358871,240.84526,-77.656654,3.6132812,38.085938,17.1875,17.329856634140015,2024-06-24 22:40:11.517334,0
149,3.5890756,28.358871,243.00745,-83.27304,3.6132812,38.085938,17.382812,17.52195119857788,2024-06-24 22:40:29.040007,0
150,3.5890756,28.358871,244.0499,-82.41137,3.6132812,38.085938,17.382812,17.656137943267822,2024-06-24 22:40:46.696502,0
151,3.5890756,28.530027,247.92204,-81.939224,3.7109375,38.085938,17.382812,18.521479606628418,2024-06-24 22:41:05.218353,0
152,3.5890756,28.636204,248.58566,-80.22691,3.7109375,38.085938,17.382812,17.696656465530396,2024-06-24 22:41:22.915596,0
153,3.5890756,28.636204,248.76477,-79.71228,3.7109375,38.085938,17.382812,16.439104080200195,2024-06-24 22:41:39.355112,0
154,3.5890756,28.636204,246.54117,-79.71228,3.7109375,38.183594,17.382812,17.29071283340454,2024-06-24 22:41:56.646527,0
155,3.5890756,28.639198,249.66396,-79.618065,3.7109375,38.183594,17.382812,18.32192635536194,2024-06-24 22:42:14.968854,0
156,3.5890756,28.669746,250.17668,-79.06877,3.8085938,38.378906,17.382812,18.174703359603882,2024-06-24 22:42:33.144069,0
157,3.5890756,28.669746,251.92506,-78.215614,3.8085938,38.378906,17.480469,18.37706756591797,2024-06-24 22:42:51.521707,0
158,3.5890756,28.669746,253.88457,-78.215614,3.8085938,38.671875,17.480469,17.231403827667236,2024-06-24 22:43:08.753507,0
159,3.5890756,28.669746,256.26227,-78.215614,3.8085938,38.671875,17.480469,17.7883403301239,2024-06-24 22:43:26.542367,0
160,3.5890756,28.669746,256.28793,-77.37971,3.8085938,38.671875,17.480469,17.590111017227173,2024-06-24 22:43:44.132925,0
161,3.5890756,28.669746,257.2141,-79.68218,3.8085938,38.76953,17.578125,17.822253704071045,2024-06-24 22:44:01.955796,0
162,3.5890756,28.748335,258.6795,-81.59326,3.8085938,38.76953,17.675781,17.820621490478516,2024-06-24 22:44:19.776936,0
163,3.5890756,28.757141,258.8987,-81.59326,3.8085938,38.867188,17.675781,17.817652225494385,2024-06-24 22:44:37.594962,0
164,3.5890756,28.81417,260.04822,-81.59326,3.8085938,38.964844,17.675781,17.991451740264893,2024-06-24 22:44:55.587002,0
165,3.5890756,28.81417,260.37872,-82.16892,3.8085938,38.964844,17.871094,16.91718864440918,2024-06-24 22:45:12.504617,0
166,3.5890756,28.8201,265.2532,-82.16892,3.90625,39.257812,17.871094,17.472102165222168,2024-06-24 22:45:29.977086,0
167,3.5890756,26.024326,265.7365,-82.16892,4.0039062,39.257812,17.871094,18.179565906524658,2024-06-24 22:45:48.157046,0
168,3.5890756,26.024326,267.18732,-82.75387,4.0039062,39.55078,17.96875,17.802512645721436,2024-06-24 22:46:05.960293,0
169,3.5890756,26.17455,268.26093,-82.21983,4.0039062,39.55078,18.066406,17.77347421646118,2024-06-24 22:46:23.734217,0
170,3.5890756,26.17455,269.95557,-82.18137,4.0039062,39.648438,18.066406,16.970625400543213,2024-06-24 22:46:40.705442,0
171,3.5890756,26.17455,272.32648,-81.51583,4.0039062,39.648438,18.066406,17.591760396957397,2024-06-24 22:46:58.297605,0
172,5.4530168,28.03849,276.2016,-79.12834,4.0039062,39.648438,18.066406,18.219510555267334,2024-06-24 22:47:16.517514,0
173,5.4530168,28.03849,278.36615,-79.684395,4.0039062,39.746094,18.164062,18.69057607650757,2024-06-24 22:47:35.208502,0
174,5.4530168,28.03849,279.7973,-79.49444,4.0039062,39.746094,18.261719,17.392424821853638,2024-06-24 22:47:52.601283,0
175,5.4530168,28.03849,280.20703,-78.719406,4.0039062,39.84375,18.261719,17.6584312915802,2024-06-24 22:48:10.260137,0
176,5.4530168,28.049068,281.09076,-77.94082,4.0039062,39.941406,18.261719,17.667097568511963,2024-06-24 22:48:27.927592,0
177,5.4530168,28.049068,279.03296,-77.94082,4.0039062,40.13672,18.261719,17.76429295539856,2024-06-24 22:48:45.692435,0
178,5.4530168,28.049068,279.63,-75.2166,4.0039062,40.429688,18.261719,18.379868507385254,2024-06-24 22:49:04.072668,0
179,5.4530168,25.36025,280.12732,-72.43044,4.1015625,40.429688,18.359375,17.83194875717163,2024-06-24 22:49:21.905073,0
180,5.4530168,25.36025,280.87262,-72.14359,4.1015625,40.429688,18.359375,17.986324071884155,2024-06-24 22:49:39.891946,0
181,5.4530168,25.36025,282.6651,-72.07301,4.1015625,40.429688,18.359375,17.644853353500366,2024-06-24 22:49:57.537254,0
182,5.4530168,25.36025,283.91946,-74.60665,4.1015625,40.527344,18.457031,17.463199377059937,2024-06-24 22:50:15.000879,0
183,5.4530168,28.36367,284.5655,-74.60125,4.1015625,40.625,18.457031,17.49798583984375,2024-06-24 22:50:32.499294,0
184,5.4530168,28.36367,285.8555,-72.695786,4.1015625,40.722656,18.554688,19.181624174118042,2024-06-24 22:50:51.681320,0
185,5.4530168,28.36367,287.14627,-73.45088,4.1015625,40.722656,18.652344,17.58152985572815,2024-06-24 22:51:09.263277,0
186,5.4530168,28.36367,290.54706,-75.98513,4.1015625,40.722656,18.847656,16.746838331222534,2024-06-24 22:51:26.010533,0
187,5.4530168,28.36367,290.9215,-71.68866,4.1015625,40.722656,18.847656,17.96500849723816,2024-06-24 22:51:43.975953,0
188,5.4530168,28.36367,289.20422,-71.676674,4.1015625,40.820312,18.847656,17.78839635848999,2024-06-24 22:52:01.764716,0
189,5.4530168,28.36367,289.93073,-70.686714,4.1015625,40.91797,18.847656,18.450092315673828,2024-06-24 22:52:20.215312,0
190,5.4530168,28.377121,291.57703,-66.05613,4.1015625,40.91797,18.847656,17.945944786071777,2024-06-24 22:52:38.161665,0
191,5.4530168,28.379213,293.85956,-66.00952,4.1015625,40.91797,18.847656,18.121365308761597,2024-06-24 22:52:56.283437,0
192,5.4530168,28.408451,294.94565,-64.21681,4.1015625,41.015625,18.847656,16.463377237319946,2024-06-24 22:53:12.747191,0
193,5.4530168,28.408451,296.73215,-61.443886,4.1015625,41.015625,19.042969,17.64999771118164,2024-06-24 22:53:30.398060,0
194,5.4530168,28.408451,297.54077,-64.5759,4.1015625,41.015625,19.140625,16.34369444847107,2024-06-24 22:53:46.742233,0
195,5.4530168,28.503021,299.487,-64.34622,4.1015625,41.11328,19.238281,17.523324728012085,2024-06-24 22:54:04.265969,0
196,5.4530168,28.503021,299.67847,-62.12853,4.1015625,41.11328,19.335938,18.034095764160156,2024-06-24 22:54:22.300551,0
197,5.4530168,28.503021,301.5384,-61.98628,4.1015625,41.308594,19.335938,17.38517665863037,2024-06-24 22:54:39.686204,0
198,5.4530168,28.833855,303.5503,-64.5494,4.1015625,41.40625,19.433594,17.129215002059937,2024-06-24 22:54:56.815881,0
199,5.4530168,28.833855,304.29938,-63.470734,4.1015625,41.40625,19.53125,18.036029815673828,2024-06-24 22:55:14.852281,0
200,5.4530168,28.833855,308.57104,-63.470734,4.1015625,41.40625,19.53125,17.562636137008667,2024-06-24 22:55:32.415471,0
201,5.4530168,29.028072,314.69543,-59.7993,4.1015625,41.503906,19.53125,17.318530321121216,2024-06-24 22:55:49.734589,0
202,5.4530168,29.028072,314.6563,-59.654415,4.1015625,41.601562,19.53125,17.390331268310547,2024-06-24 22:56:07.125588,0
203,5.4530168,29.028072,318.92688,-59.654415,4.1015625,41.69922,19.53125,17.72732901573181,2024-06-24 22:56:24.853318,0
204,5.4530168,29.028072,320.95996,-59.52564,4.1015625,41.796875,19.53125,18.12129306793213,2024-06-24 22:56:42.975064,0
205,5.4530168,29.36845,321.9055,-59.52564,4.1992188,41.796875,19.53125,16.917538166046143,2024-06-24 22:56:59.892970,0
206,5.4530168,29.36845,322.42392,-59.036694,4.1992188,41.796875,19.53125,17.897017002105713,2024-06-24 22:57:17.790347,0
207,5.4530168,29.36845,323.33093,-57.826103,4.1992188,41.89453,19.53125,16.270641326904297,2024-06-24 22:57:34.061402,0
