iteration,max_fitness,qd_score1,qd_score2,qd_score3,coverage1,coverage2,coverage3,time,current_time,invalid_individuals
1,0.31921163,-0.8136841,-25.806496,-34.640373,1.3671875,6.1523438,3.4179688,20.464085817337036,2024-06-21 12:17:01.578429,0
2,0.35246903,2.3651106,-32.832893,-36.01686,1.3671875,7.9101562,3.7109375,10.27919888496399,2024-06-21 12:17:11.858090,0
3,0.8247707,0.22984576,-41.334793,-43.375374,1.5625,9.667969,4.1992188,9.957509994506836,2024-06-21 12:17:21.816314,0
4,1.0177249,1.0247877,-41.486145,-43.78578,1.6601562,11.425781,4.5898438,10.59402060508728,2024-06-21 12:17:32.411016,0
5,1.0490862,1.2696291,-41.715935,-50.086815,1.6601562,13.0859375,5.078125,10.681107997894287,2024-06-21 12:17:43.092684,0
6,1.0490862,1.6133797,-21.534645,-47.400745,1.6601562,13.964844,5.3710938,10.329542636871338,2024-06-21 12:17:53.422650,0
7,1.0490862,1.9487967,-20.301794,-52.730896,1.7578125,14.84375,5.5664062,10.687726736068726,2024-06-21 12:18:04.110751,0
8,1.0490862,-0.6380534,-15.5380535,-62.13268,1.8554688,15.625,5.859375,10.511051893234253,2024-06-21 12:18:14.622415,0
9,1.0490862,2.8482664,-8.570607,-61.592697,1.8554688,16.210938,6.0546875,10.684875965118408,2024-06-21 12:18:25.307892,0
10,1.1275328,3.6152706,-5.202474,-57.966545,1.8554688,16.992188,6.0546875,10.47947072982788,2024-06-21 12:18:35.787855,0
11,1.1275328,3.6707647,-9.621248,-60.918533,1.8554688,17.773438,6.1523438,10.81799840927124,2024-06-21 12:18:46.606423,0
12,1.1275328,3.3229458,-2.6202965,-62.75743,1.953125,18.554688,6.25,10.731312274932861,2024-06-21 12:18:57.338368,0
13,1.1275328,3.3229458,-9.980699,-65.82429,1.953125,19.042969,6.3476562,11.016042232513428,2024-06-21 12:19:08.354794,0
14,1.1275328,3.3379784,-10.15607,-61.8524,1.953125,19.726562,6.3476562,10.148964166641235,2024-06-21 12:19:18.504287,0
15,1.1275328,3.3668823,-4.783758,-64.344086,2.0507812,19.726562,6.5429688,10.407991886138916,2024-06-21 12:19:28.912649,0
16,1.1275328,3.950282,-2.6524408,-63.312225,2.0507812,20.3125,6.640625,10.77035140991211,2024-06-21 12:19:39.683488,0
17,1.1275328,1.3528173,2.705528,-58.81463,2.1484375,20.605469,6.7382812,10.692277431488037,2024-06-21 12:19:50.376144,0
18,1.1275328,1.3835719,8.868022,-61.424973,2.1484375,21.09375,6.8359375,10.626526594161987,2024-06-21 12:20:01.003240,0
19,1.1275328,1.7227509,13.556486,-64.263214,2.1484375,21.386719,6.9335938,10.766053676605225,2024-06-21 12:20:11.769869,0
20,1.1275328,2.0328536,18.300873,-67.17705,2.1484375,21.582031,7.03125,10.602494239807129,2024-06-21 12:20:22.372775,0
21,1.1275328,2.109971,20.418222,-67.16523,2.1484375,21.972656,7.03125,11.052555322647095,2024-06-21 12:20:33.425703,0
22,1.1275328,2.1331863,21.432705,-66.75414,2.2460938,22.070312,7.1289062,11.080329656600952,2024-06-21 12:20:44.506630,0
23,1.1275328,2.6480217,25.286558,-68.50633,2.2460938,22.460938,7.2265625,11.279404401779175,2024-06-21 12:20:55.786508,0
24,1.1275328,2.8732,27.139359,-76.44365,2.2460938,22.65625,7.5195312,10.946583271026611,2024-06-21 12:21:06.733499,0
25,1.1275328,3.3254476,32.38631,-78.34923,2.2460938,23.046875,7.6171875,10.984862327575684,2024-06-21 12:21:17.718773,0
26,1.1275328,3.4911237,30.457624,-77.83408,2.34375,23.339844,7.6171875,11.149873971939087,2024-06-21 12:21:28.869119,0
27,1.1275328,3.8199801,31.488909,-80.54863,2.34375,23.339844,7.9101562,10.518894910812378,2024-06-21 12:21:39.388417,0
28,1.1275328,3.8199801,36.013004,-81.58626,2.34375,23.730469,8.0078125,10.768967151641846,2024-06-21 12:21:50.157829,0
29,1.1275328,3.8199801,40.27224,-84.42613,2.34375,24.023438,8.105469,11.015541553497314,2024-06-21 12:22:01.173841,0
30,1.1275328,3.932754,41.850838,-83.72289,2.34375,24.316406,8.105469,11.097032070159912,2024-06-21 12:22:12.271469,0
31,1.1578052,4.7820053,44.782906,-82.66825,2.34375,24.707031,8.203125,11.133625030517578,2024-06-21 12:22:23.405499,0
32,1.1578052,7.2711325,45.52594,-83.893486,2.4414062,24.707031,8.300781,10.806933403015137,2024-06-21 12:22:34.213002,0
33,1.1578052,7.2880373,45.53086,-82.68026,2.4414062,25.0,8.496094,10.82385516166687,2024-06-21 12:22:45.037238,0
34,1.1578052,6.9943867,46.53619,-79.37046,2.5390625,25.195312,8.59375,10.96772050857544,2024-06-21 12:22:56.005395,0
35,1.1578052,7.1088057,46.717857,-79.37046,2.5390625,25.292969,8.59375,10.631750345230103,2024-06-21 12:23:06.637558,0
36,1.1578052,7.8623295,49.21128,-78.86838,2.6367188,25.585938,8.691406,11.071187496185303,2024-06-21 12:23:17.709162,0
37,1.1578052,7.909053,51.025772,-76.67479,2.734375,25.878906,8.7890625,11.061835765838623,2024-06-21 12:23:28.771435,0
38,1.1578052,8.514466,52.168457,-78.66203,2.734375,26.074219,8.886719,10.299962520599365,2024-06-21 12:23:39.072014,0
39,1.1578052,8.667246,53.60759,-81.66203,2.734375,26.171875,8.984375,11.035945653915405,2024-06-21 12:23:50.108447,0
40,1.1578052,11.772053,54.963486,-81.53943,2.734375,26.367188,9.1796875,10.75206708908081,2024-06-21 12:24:00.860920,0
41,1.1578052,11.772053,55.806694,-83.19798,2.734375,26.757812,9.472656,10.916111707687378,2024-06-21 12:24:11.777640,0
42,1.1578052,6.2072678,58.24494,-82.43666,2.9296875,26.953125,9.667969,10.566829681396484,2024-06-21 12:24:22.345664,0
43,1.1578052,6.4930367,62.954655,-81.991394,2.9296875,27.148438,9.667969,10.838919162750244,2024-06-21 12:24:33.185003,0
44,1.1578052,6.5316105,63.348915,-84.78206,3.0273438,27.246094,9.765625,10.597200632095337,2024-06-21 12:24:43.782802,0
45,1.1578052,6.5250235,63.410187,-93.927795,3.125,27.441406,10.058594,10.901017904281616,2024-06-21 12:24:54.684227,0
46,1.1578052,6.5460105,63.653435,-92.15773,3.2226562,27.539062,10.058594,11.191656112670898,2024-06-21 12:25:05.876450,0
47,1.1578052,6.5460105,67.77623,-93.88211,3.2226562,27.734375,10.15625,11.248122692108154,2024-06-21 12:25:17.124986,0
48,1.1578052,6.5460105,69.884995,-92.52806,3.2226562,27.734375,10.15625,11.145159244537354,2024-06-21 12:25:28.270520,0
49,1.1578052,6.5460105,67.92251,-94.580734,3.2226562,28.125,10.253906,10.834027528762817,2024-06-21 12:25:39.105001,0
50,1.1578052,6.5460105,68.59963,-100.45758,3.2226562,28.222656,10.449219,10.769140005111694,2024-06-21 12:25:49.874526,0
51,1.1578052,6.5460105,70.56091,-105.75293,3.2226562,28.417969,10.9375,11.023672342300415,2024-06-21 12:26:00.898603,0
52,1.1578052,7.0395966,70.78615,-105.41076,3.2226562,28.613281,10.9375,10.498021841049194,2024-06-21 12:26:11.397149,0
53,1.1578052,7.2592487,69.39111,-104.81398,3.2226562,28.710938,10.9375,11.285016298294067,2024-06-21 12:26:22.682585,0
54,1.1578052,7.2592487,71.08276,-104.284676,3.2226562,28.710938,10.9375,10.659141540527344,2024-06-21 12:26:33.342260,0
55,1.1578052,7.2592487,71.80742,-104.05259,3.2226562,28.808594,10.9375,10.763022899627686,2024-06-21 12:26:44.105727,0
56,1.1578052,7.4247704,72.85188,-109.85057,3.2226562,28.808594,11.1328125,10.099859714508057,2024-06-21 12:26:54.206002,0
57,1.1578052,7.4247704,76.977036,-109.46086,3.2226562,29.101562,11.230469,10.577315092086792,2024-06-21 12:27:04.783791,0
58,1.1578052,7.725344,81.10919,-108.692795,3.2226562,29.101562,11.230469,10.900089025497437,2024-06-21 12:27:15.684480,0
59,1.1578052,7.725344,82.9103,-113.16765,3.2226562,29.199219,11.5234375,10.336757898330688,2024-06-21 12:27:26.021812,0
60,1.1578052,7.8733974,80.6816,-114.73883,3.2226562,29.492188,11.71875,10.770721435546875,2024-06-21 12:27:36.792946,0
61,1.1578052,8.28577,82.21279,-114.67909,3.2226562,29.785156,11.71875,10.941644668579102,2024-06-21 12:27:47.734973,0
62,1.1578052,8.28577,83.85886,-111.24568,3.2226562,29.980469,11.71875,10.618493556976318,2024-06-21 12:27:58.353996,0
63,1.2793686,9.130085,85.69206,-110.62118,3.2226562,30.078125,11.816406,11.07662582397461,2024-06-21 12:28:09.431125,0
64,1.2793686,9.130085,87.04605,-109.93189,3.2226562,30.175781,11.9140625,11.236968517303467,2024-06-21 12:28:20.668696,0
65,1.2793686,9.322308,88.92596,-109.66036,3.3203125,30.175781,11.9140625,11.117467641830444,2024-06-21 12:28:31.786669,0
66,1.2793686,9.070656,90.29151,-108.06621,3.4179688,30.273438,12.011719,11.090100288391113,2024-06-21 12:28:42.877153,0
67,1.3849912,9.256676,91.91326,-107.60771,3.4179688,30.371094,12.109375,10.895544528961182,2024-06-21 12:28:53.774418,0
68,1.3849912,9.925598,93.67543,-106.71611,3.515625,30.46875,12.109375,11.171554327011108,2024-06-21 12:29:04.946383,0
69,1.3849912,6.5958652,95.32572,-112.176025,3.7109375,30.859375,12.3046875,11.0032639503479,2024-06-21 12:29:15.950081,0
70,1.3849912,6.5958652,95.87616,-112.02775,3.7109375,30.859375,12.3046875,10.678705215454102,2024-06-21 12:29:26.629304,0
71,1.3849912,6.5958652,99.24115,-114.80244,3.7109375,30.859375,12.402344,10.929585933685303,2024-06-21 12:29:37.559484,0
72,1.3849912,6.834654,100.302315,-113.51875,3.8085938,30.859375,12.597656,11.481060981750488,2024-06-21 12:29:49.041138,0
73,1.3849912,6.834654,100.9221,-113.51875,3.8085938,30.859375,12.597656,10.7869713306427,2024-06-21 12:29:59.828542,0
74,1.3849912,7.1543436,99.55752,-113.42874,3.90625,31.054688,12.597656,10.66626787185669,2024-06-21 12:30:10.495205,0
75,1.3849912,7.4202747,100.02435,-113.42874,3.90625,31.054688,12.597656,10.713189363479614,2024-06-21 12:30:21.208856,0
76,1.3849912,7.4202747,101.13587,-116.1542,3.90625,31.054688,12.6953125,10.631057262420654,2024-06-21 12:30:31.840526,0
77,1.3849912,7.4701347,101.8406,-116.11839,3.90625,31.152344,12.890625,11.067357540130615,2024-06-21 12:30:42.908259,0
78,1.3849912,7.6018496,102.407906,-115.52246,3.90625,31.152344,12.988281,10.732330083847046,2024-06-21 12:30:53.640953,0
79,1.3849912,7.6018496,102.07439,-118.57936,3.90625,31.25,13.183594,10.823899269104004,2024-06-21 12:31:04.465226,0
80,1.3849912,7.6018496,102.77667,-120.86331,3.90625,31.25,13.378906,10.816154956817627,2024-06-21 12:31:15.281797,0
81,1.3849912,7.6018496,104.25423,-120.23071,3.90625,31.445312,13.4765625,10.831186056137085,2024-06-21 12:31:26.113402,0
82,1.3849912,7.638139,106.68207,-119.79503,3.90625,31.640625,13.4765625,11.288822412490845,2024-06-21 12:31:37.402660,0
83,1.3849912,4.638139,110.44574,-122.32924,4.0039062,31.738281,13.671875,10.998849868774414,2024-06-21 12:31:48.402316,0
84,1.3849912,4.1000195,114.55313,-120.55118,4.1015625,31.738281,13.769531,10.59829044342041,2024-06-21 12:31:59.001206,0
85,1.3849912,4.1000195,115.10749,-120.55118,4.1015625,31.738281,13.769531,10.848820686340332,2024-06-21 12:32:09.850446,0
86,1.3849912,4.1000195,117.64676,-118.364624,4.1015625,31.933594,13.8671875,10.963089942932129,2024-06-21 12:32:20.813950,0
87,1.3849912,4.2030325,116.107254,-118.364624,4.1015625,32.226562,13.8671875,10.317813396453857,2024-06-21 12:32:31.132322,0
88,1.3849912,4.2030325,117.64226,-117.90367,4.1015625,32.32422,13.964844,11.061213731765747,2024-06-21 12:32:42.193898,0
89,1.3849912,4.2030325,117.924995,-123.87138,4.1015625,32.32422,14.160156,10.729980707168579,2024-06-21 12:32:52.924307,0
90,1.3849912,4.3332844,119.653435,-121.625275,4.1015625,32.32422,14.2578125,11.26028823852539,2024-06-21 12:33:04.184974,0
91,1.3849912,4.3332844,120.232025,-124.545746,4.1015625,32.32422,14.355469,10.54355239868164,2024-06-21 12:33:14.728897,0
92,1.3849912,4.3332844,120.40876,-131.01933,4.1015625,32.51953,14.550781,11.186166286468506,2024-06-21 12:33:25.915431,0
93,1.3849912,4.3332844,121.21894,-130.82388,4.1015625,32.617188,14.550781,10.581448793411255,2024-06-21 12:33:36.497449,0
94,1.3849912,4.491027,118.48885,-129.45901,4.1015625,32.8125,14.746094,10.839339017868042,2024-06-21 12:33:47.337193,0
95,1.3849912,4.4927588,119.193634,-132.14146,4.1015625,32.910156,14.84375,10.743284463882446,2024-06-21 12:33:58.080991,0
96,1.3849912,4.64719,116.01705,-129.43439,4.1015625,33.007812,14.84375,11.094098329544067,2024-06-21 12:34:09.175816,0
97,1.3849912,4.3423457,117.66881,-130.25046,4.1992188,33.10547,14.941406,10.826533317565918,2024-06-21 12:34:20.002723,0
98,1.3849912,4.3423457,118.01518,-133.21545,4.1992188,33.10547,15.0390625,11.42408561706543,2024-06-21 12:34:31.427176,0
99,1.3849912,4.063718,118.289696,-138.85938,4.296875,33.10547,15.234375,10.81290602684021,2024-06-21 12:34:42.240451,0
100,1.3849912,1.0637178,119.384094,-139.88705,4.3945312,33.10547,15.527344,11.224729776382446,2024-06-21 12:34:53.465544,0
101,1.3849912,1.0637178,119.42204,-137.73611,4.3945312,33.203125,15.527344,10.711855173110962,2024-06-21 12:35:04.177810,0
102,1.3849912,1.0637178,119.95888,-138.699,4.3945312,33.203125,15.625,11.197689294815063,2024-06-21 12:35:15.375923,0
103,1.3849912,1.4328341,121.84887,-141.4489,4.4921875,33.398438,15.722656,10.5284583568573,2024-06-21 12:35:25.904809,0
104,1.3849912,1.4328341,121.88333,-140.83646,4.4921875,33.398438,15.8203125,10.919467687606812,2024-06-21 12:35:36.824884,0
105,1.3849912,1.4763997,123.39903,-133.67859,4.4921875,33.496094,15.917969,11.017309188842773,2024-06-21 12:35:47.842569,0
106,1.3849912,2.0087938,125.004364,-132.48878,4.4921875,33.496094,15.917969,10.869283437728882,2024-06-21 12:35:58.712410,0
107,1.3849912,2.4081712,125.36515,-135.07683,4.4921875,33.789062,16.113281,11.00847315788269,2024-06-21 12:36:09.721450,0
108,1.3849912,2.5101101,126.41359,-137.9082,4.4921875,33.984375,16.210938,10.587274551391602,2024-06-21 12:36:20.309136,0
109,1.3849912,2.8056653,126.61432,-140.82748,4.4921875,33.984375,16.308594,10.958703517913818,2024-06-21 12:36:31.268247,0
110,1.3849912,4.992255,127.6413,-142.75299,4.4921875,33.984375,16.503906,10.789072513580322,2024-06-21 12:36:42.057759,0
111,1.3849912,4.992255,127.93873,-141.29155,4.4921875,34.179688,16.503906,10.774323225021362,2024-06-21 12:36:52.832797,0
112,1.3849912,5.2927837,131.29962,-141.29155,4.4921875,34.179688,16.503906,10.472981929779053,2024-06-21 12:37:03.306171,0
113,1.3849912,5.2927837,134.21278,-141.29155,4.4921875,34.277344,16.503906,11.017904281616211,2024-06-21 12:37:14.324482,0
114,1.3849912,5.2980623,136.5396,-137.49876,4.4921875,34.375,16.503906,11.161877155303955,2024-06-21 12:37:25.486725,0
