iteration,max_fitness,qd_score1,qd_score2,qd_score3,coverage1,coverage2,coverage3,time,current_time,invalid_individuals
1,0.5049892,3.3639328,5.3454742,2.9366422,1.171875,5.9570312,2.0507812,10.362790584564209,2024-08-16 05:19:53.544037,0
2,0.5049892,3.8585584,7.7077594,3.3104076,1.4648438,7.5195312,2.4414062,5.848086595535278,2024-08-16 05:19:59.392519,0
3,0.72428674,5.09799,9.75963,3.9377737,1.7578125,9.765625,2.734375,5.881723403930664,2024-08-16 05:20:05.274661,0
4,0.72428674,5.7342806,12.064724,3.9803948,1.8554688,10.9375,3.0273438,5.841129302978516,2024-08-16 05:20:11.116176,0
5,0.72428674,5.4815407,14.990906,4.3597755,2.0507812,12.207031,3.125,5.82793664932251,2024-08-16 05:20:16.944604,0
6,0.72428674,6.3307734,18.373407,4.4149365,2.2460938,12.792969,3.125,5.887418985366821,2024-08-16 05:20:22.832396,0
7,0.72428674,7.071496,22.010538,4.455293,2.34375,13.574219,3.2226562,5.850997686386108,2024-08-16 05:20:28.683769,0
8,0.72428674,7.6437387,24.103825,4.5310955,2.4414062,14.550781,3.4179688,5.960255146026611,2024-08-16 05:20:34.644433,0
9,0.72428674,7.9658566,26.79712,4.83093,2.5390625,15.527344,3.4179688,5.803716421127319,2024-08-16 05:20:40.448837,0
10,0.72428674,8.98249,28.066917,5.1619453,2.5390625,16.308594,3.515625,5.864827394485474,2024-08-16 05:20:46.314086,0
11,0.72428674,9.477222,30.414919,5.639941,2.8320312,16.894531,3.515625,5.86163592338562,2024-08-16 05:20:52.176077,0
12,0.72428674,9.369563,30.851768,4.726821,2.9296875,17.1875,3.7109375,5.830454111099243,2024-08-16 05:20:58.006933,0
13,0.72428674,9.432783,31.595253,4.8919964,2.9296875,17.578125,3.7109375,5.927783966064453,2024-08-16 05:21:03.935071,0
14,0.72428674,9.809061,36.763847,5.0428557,3.125,18.066406,3.7109375,5.9469945430755615,2024-08-16 05:21:09.882549,0
15,0.72428674,10.677748,38.813187,5.1142855,3.125,18.457031,3.7109375,5.867070913314819,2024-08-16 05:21:15.749988,0
16,0.72428674,10.984616,39.65917,2.337552,3.2226562,19.042969,3.8085938,5.996203660964966,2024-08-16 05:21:21.746556,0
17,0.72428674,12.092936,41.239006,2.3390882,3.3203125,19.53125,3.8085938,5.866727828979492,2024-08-16 05:21:27.613637,0
18,0.72428674,12.412867,41.602425,2.5343616,3.515625,19.726562,3.8085938,5.860315322875977,2024-08-16 05:21:33.474368,0
19,0.72428674,12.40148,43.096928,2.7567239,3.7109375,20.117188,3.90625,5.971303462982178,2024-08-16 05:21:39.446085,0
20,0.72428674,13.02754,44.89744,2.1179183,3.8085938,20.605469,4.0039062,5.8770177364349365,2024-08-16 05:21:45.323463,0
21,0.72428674,13.688269,46.440163,2.567632,3.90625,20.996094,4.0039062,5.854788780212402,2024-08-16 05:21:51.178660,0
22,0.72428674,15.129017,47.59398,2.8024256,4.0039062,21.484375,4.0039062,5.860134601593018,2024-08-16 05:21:57.039149,0
23,0.72428674,15.1573925,48.68411,3.0021107,4.1015625,21.875,4.0039062,5.9228856563568115,2024-08-16 05:22:02.962429,0
24,0.82687587,15.386951,50.46553,3.3634126,4.1992188,22.265625,4.0039062,5.927245140075684,2024-08-16 05:22:08.890036,0
25,0.82687587,15.759087,52.879227,3.6577744,4.296875,22.65625,4.0039062,5.886634826660156,2024-08-16 05:22:14.777237,0
26,0.82687587,15.828746,53.950348,3.827783,4.296875,22.851562,4.0039062,5.846928596496582,2024-08-16 05:22:20.624528,0
27,0.82687587,15.853284,55.6034,4.019719,4.296875,22.851562,4.1015625,5.824621915817261,2024-08-16 05:22:26.449561,0
28,0.82687587,16.632765,55.973007,4.0564127,4.5898438,23.242188,4.1015625,5.913873195648193,2024-08-16 05:22:32.363796,0
29,0.82687587,17.13527,58.265923,4.234049,4.5898438,23.730469,4.1015625,5.954458236694336,2024-08-16 05:22:38.318659,0
30,0.82687587,17.275566,59.792183,4.4823117,4.5898438,24.121094,4.1015625,5.9564666748046875,2024-08-16 05:22:44.275530,0
31,0.82687587,17.510208,60.524788,1.6739073,4.5898438,24.511719,4.1992188,5.875107526779175,2024-08-16 05:22:50.151038,0
32,0.82687587,17.818989,60.759068,1.8511753,4.6875,24.707031,4.1992188,5.882493257522583,2024-08-16 05:22:56.033914,0
33,0.82687587,17.375196,61.045708,1.9045649,4.8828125,25.0,4.1992188,5.967409610748291,2024-08-16 05:23:02.001676,0
34,0.82687587,17.827488,61.55081,-1.012567,5.078125,25.195312,4.296875,5.8817877769470215,2024-08-16 05:23:07.883887,0
35,0.82687587,17.974064,62.94257,-0.9711329,5.078125,25.390625,4.296875,5.955033779144287,2024-08-16 05:23:13.839344,0
36,0.82687587,18.87805,63.38772,-0.9711329,5.078125,25.585938,4.296875,5.867096900939941,2024-08-16 05:23:19.707201,0
37,0.82687587,19.494427,64.70848,-0.8179153,5.1757812,25.683594,4.296875,5.9051196575164795,2024-08-16 05:23:25.612770,0
38,0.82687587,19.657724,65.94939,-0.66372335,5.1757812,25.683594,4.296875,5.797321796417236,2024-08-16 05:23:31.410439,0
39,0.82687587,19.928717,68.136955,0.40680337,5.1757812,25.976562,4.296875,5.884051322937012,2024-08-16 05:23:37.294843,0
40,0.82687587,20.54997,69.58876,0.73564863,5.1757812,26.269531,4.296875,5.872632026672363,2024-08-16 05:23:43.168007,0
41,0.82687587,20.706936,70.41945,0.73564863,5.1757812,26.464844,4.296875,5.826701641082764,2024-08-16 05:23:48.995092,0
42,0.82687587,20.887997,72.92406,0.7637005,5.1757812,27.050781,4.296875,5.899761915206909,2024-08-16 05:23:54.895443,0
43,0.82687587,21.26104,74.543526,0.78593016,5.1757812,27.34375,4.296875,5.792420864105225,2024-08-16 05:24:00.688255,0
44,0.82687587,21.871948,75.9359,-2.1608346,5.1757812,27.34375,4.3945312,5.8150458335876465,2024-08-16 05:24:06.503728,0
45,0.82687587,21.88015,78.100784,-1.866981,5.1757812,27.636719,4.3945312,5.96372389793396,2024-08-16 05:24:12.467956,0
46,0.82687587,21.93267,79.31469,-1.7060862,5.1757812,28.027344,4.3945312,5.811510801315308,2024-08-16 05:24:18.279879,0
47,0.82687587,22.246334,80.90639,-1.5261858,5.1757812,28.320312,4.3945312,5.910869598388672,2024-08-16 05:24:24.191135,0
48,0.82687587,22.42839,81.56175,-4.5149117,5.2734375,28.710938,4.5898438,5.797449111938477,2024-08-16 05:24:29.988983,0
49,0.82687587,22.42839,81.850845,-4.4852133,5.2734375,28.710938,4.5898438,5.8572399616241455,2024-08-16 05:24:35.846577,0
50,0.82687587,22.504574,82.41696,-4.4852133,5.2734375,28.808594,4.5898438,5.8649537563323975,2024-08-16 05:24:41.711884,0
51,0.82687587,22.547722,83.2571,-7.2850027,5.2734375,29.101562,4.6875,5.85250449180603,2024-08-16 05:24:47.564780,0
52,0.82687587,22.784771,84.61032,-7.2689,5.3710938,29.199219,4.6875,5.827676773071289,2024-08-16 05:24:53.392819,0
53,0.82687587,23.054514,85.52626,-7.2689,5.3710938,29.394531,4.6875,5.824613332748413,2024-08-16 05:24:59.217791,0
54,0.82687587,23.629612,86.55201,-7.246583,5.3710938,29.589844,4.6875,5.92777156829834,2024-08-16 05:25:05.146081,0
55,0.82687587,23.629612,87.27337,-7.0192885,5.3710938,29.589844,4.6875,5.8256614208221436,2024-08-16 05:25:10.972092,0
56,0.82687587,24.050678,87.91132,-6.983218,5.3710938,29.6875,4.6875,5.8640100955963135,2024-08-16 05:25:16.836505,0
57,0.82687587,24.050678,88.04407,-6.983218,5.3710938,29.6875,4.6875,5.840877056121826,2024-08-16 05:25:22.677763,0
58,0.82687587,24.434391,89.354836,-6.9787846,5.3710938,29.6875,4.6875,5.847083806991577,2024-08-16 05:25:28.525210,0
59,0.82687587,24.590878,91.048256,-6.9787846,5.3710938,29.785156,4.6875,5.928286075592041,2024-08-16 05:25:34.453917,0
60,0.82687587,24.767574,91.5446,-6.651244,5.3710938,29.882812,4.6875,5.886455297470093,2024-08-16 05:25:40.340814,0
61,0.82687587,24.809093,91.899826,-6.6360583,5.3710938,29.980469,4.6875,5.844970464706421,2024-08-16 05:25:46.186195,0
62,0.82687587,25.129848,93.04299,-6.5568013,5.3710938,30.175781,4.6875,5.905736923217773,2024-08-16 05:25:52.092288,0
63,0.82687587,25.293705,93.72666,-6.2885222,5.3710938,30.371094,4.6875,5.895768165588379,2024-08-16 05:25:57.988459,0
64,0.82687587,25.302704,94.137314,-6.2885222,5.3710938,30.46875,4.6875,5.935128688812256,2024-08-16 05:26:03.923996,0
65,0.82687587,25.544716,94.67764,-6.2885222,5.46875,30.566406,4.6875,5.862228155136108,2024-08-16 05:26:09.786618,0
66,0.82687587,25.676449,95.25064,-6.228769,5.46875,30.566406,4.6875,5.935354471206665,2024-08-16 05:26:15.722339,0
67,0.82687587,25.676449,95.83516,-6.228769,5.46875,30.664062,4.6875,5.8400115966796875,2024-08-16 05:26:21.562733,0
68,0.82687587,26.171658,96.36873,-5.933153,5.46875,30.664062,4.6875,5.7653985023498535,2024-08-16 05:26:27.328491,0
69,0.82687587,26.166012,96.72615,-5.933153,5.5664062,30.664062,4.6875,5.867905616760254,2024-08-16 05:26:33.196885,0
70,0.82687587,26.166012,97.12869,-5.933153,5.5664062,30.664062,4.6875,5.938208103179932,2024-08-16 05:26:39.135459,0
71,0.82687587,26.231508,98.73713,-5.845016,5.6640625,30.957031,4.6875,5.91743016242981,2024-08-16 05:26:45.053419,0
72,0.82687587,26.32111,100.196205,-5.789045,5.6640625,31.054688,4.6875,5.936589241027832,2024-08-16 05:26:50.990428,0
73,0.82687587,26.511227,101.03917,-5.789045,5.6640625,31.152344,4.6875,5.885394811630249,2024-08-16 05:26:56.876366,0
74,0.82687587,27.032421,102.018875,-5.730863,5.7617188,31.25,4.6875,5.8803887367248535,2024-08-16 05:27:02.757164,0
75,0.82687587,27.040714,102.72388,-5.730863,5.7617188,31.25,4.6875,5.89714503288269,2024-08-16 05:27:08.654853,0
76,0.82687587,27.07443,103.52063,-5.399766,5.7617188,31.25,4.6875,5.945230007171631,2024-08-16 05:27:14.600439,0
77,0.82687587,27.144585,104.496765,-5.399766,5.7617188,31.25,4.6875,5.890350818634033,2024-08-16 05:27:20.491176,0
78,0.82687587,27.183384,105.82092,-5.387396,5.7617188,31.445312,4.6875,5.94000768661499,2024-08-16 05:27:26.431614,0
79,0.82687587,27.452759,106.90306,-5.1830506,5.7617188,31.542969,4.6875,5.9362711906433105,2024-08-16 05:27:32.368261,0
80,0.82687587,27.532944,107.586975,-5.1830506,5.7617188,31.640625,4.6875,5.951210021972656,2024-08-16 05:27:38.319921,0
81,0.82687587,27.605537,107.8794,-5.120122,5.7617188,31.640625,4.6875,5.798659563064575,2024-08-16 05:27:44.119100,0
82,0.82687587,28.001553,107.64748,-5.120122,5.7617188,31.933594,4.6875,5.9006569385528564,2024-08-16 05:27:50.020463,0
83,0.82687587,28.01151,108.00269,-5.120122,5.7617188,32.03125,4.6875,5.784801721572876,2024-08-16 05:27:55.805653,0
84,0.82687587,28.356949,108.14171,-5.120122,5.7617188,32.03125,4.6875,5.91030216217041,2024-08-16 05:28:01.716651,0
85,0.82687587,28.356949,109.06848,-5.1082673,5.7617188,32.128906,4.6875,5.85547661781311,2024-08-16 05:28:07.572493,0
86,0.82687587,28.395826,109.49115,-5.1082673,5.7617188,32.128906,4.6875,5.92811131477356,2024-08-16 05:28:13.500992,0
87,0.82687587,28.611204,109.982056,-5.1082673,5.7617188,32.226562,4.6875,5.994137763977051,2024-08-16 05:28:19.495508,0
88,0.82687587,29.115055,110.47728,-10.963411,5.859375,32.226562,4.8828125,5.799690246582031,2024-08-16 05:28:25.295608,0
89,0.82687587,29.200907,111.21707,-10.865024,5.859375,32.32422,4.8828125,5.839686870574951,2024-08-16 05:28:31.135683,0
90,0.82687587,29.200907,111.86945,-13.813962,5.859375,32.51953,4.9804688,5.80251145362854,2024-08-16 05:28:36.938738,0
91,0.82687587,29.200907,110.98115,-13.800708,5.859375,32.714844,4.9804688,5.89374041557312,2024-08-16 05:28:42.832831,0
92,0.82687587,29.596682,111.47715,-16.57399,5.859375,32.714844,5.078125,5.802276134490967,2024-08-16 05:28:48.635542,0
93,0.82687587,29.759098,112.79764,-16.57399,5.859375,32.8125,5.078125,5.964734077453613,2024-08-16 05:28:54.600669,0
94,0.82687587,29.83284,113.656235,-16.57399,5.859375,32.910156,5.078125,5.874610900878906,2024-08-16 05:29:00.475642,0
95,0.82687587,29.727505,114.55023,-16.57399,6.0546875,33.007812,5.078125,5.9216649532318115,2024-08-16 05:29:06.397700,0
96,0.82687587,30.265736,115.314674,-17.810925,6.0546875,33.10547,5.1757812,5.89619255065918,2024-08-16 05:29:12.294312,0
97,0.82687587,30.883757,116.49177,-17.810925,6.1523438,33.203125,5.1757812,5.873059034347534,2024-08-16 05:29:18.167934,0
98,0.82687587,30.887524,117.369026,-17.71072,6.1523438,33.203125,5.1757812,5.851905822753906,2024-08-16 05:29:24.020257,0
99,0.82687587,30.887524,117.69069,-18.498423,6.1523438,33.30078,5.2734375,5.790518045425415,2024-08-16 05:29:29.811178,0
100,0.82687587,30.908104,117.9175,-18.498423,6.1523438,33.30078,5.2734375,5.81662130355835,2024-08-16 05:29:35.628352,0
101,0.82687587,30.972122,118.12604,-18.498423,6.1523438,33.496094,5.2734375,5.793170690536499,2024-08-16 05:29:41.421917,0
102,0.82687587,30.999638,119.68256,-18.498423,6.1523438,33.496094,5.2734375,5.875118255615234,2024-08-16 05:29:47.297448,0
103,0.82687587,31.319588,120.10523,-18.4841,6.1523438,33.59375,5.2734375,5.980691909790039,2024-08-16 05:29:53.278505,0
104,0.82687587,31.38095,121.074486,-18.478813,6.1523438,33.789062,5.2734375,5.685918569564819,2024-08-16 05:29:58.964778,0
105,0.82687587,31.43497,120.859314,-18.478813,6.1523438,33.88672,5.2734375,5.970862865447998,2024-08-16 05:30:04.936049,0
