iteration,max_fitness,qd_score1,qd_score2,qd_score3,coverage1,coverage2,coverage3,time,current_time,invalid_individuals
1,0.38132355,2.475509,0.6095973,2.256364,1.7578125,6.8359375,1.8554688,11.425187587738037,2024-08-19 04:29:50.461311,0
2,0.52278215,4.1296644,4.928465,2.5890257,2.0507812,8.984375,2.1484375,6.968002080917358,2024-08-19 04:29:57.429726,0
3,0.529611,5.4383693,9.139773,0.30646122,2.5390625,10.7421875,2.5390625,6.8515565395355225,2024-08-19 04:30:04.281717,0
4,0.5814409,6.475354,12.579606,0.7217095,2.8320312,12.011719,3.0273438,6.976201057434082,2024-08-19 04:30:11.258406,0
5,0.5814409,7.796204,16.961256,1.7118766,2.9296875,12.402344,3.3203125,6.935587644577026,2024-08-19 04:30:18.194410,0
6,0.5814409,8.80703,19.077845,1.892437,3.2226562,13.769531,3.4179688,6.955413103103638,2024-08-19 04:30:25.150294,0
7,0.5814409,9.496826,22.390425,1.9459156,3.4179688,14.160156,3.4179688,6.872270107269287,2024-08-19 04:30:32.022994,0
8,0.5958284,11.04056,24.969898,2.1027474,3.90625,14.6484375,3.515625,6.917392253875732,2024-08-19 04:30:38.940892,0
9,0.5958284,11.572241,27.901886,1.4306892,4.0039062,15.234375,3.6132812,6.971597671508789,2024-08-19 04:30:45.912940,0
10,0.5958284,12.138676,28.778429,1.4349036,4.296875,16.015625,3.7109375,6.985724449157715,2024-08-19 04:30:52.899210,0
11,0.5958284,13.185984,30.333206,1.5912884,4.5898438,16.40625,3.7109375,7.083179712295532,2024-08-19 04:30:59.982864,0
12,0.6131073,13.599833,31.112606,1.6457429,4.6875,16.894531,3.7109375,6.9089343547821045,2024-08-19 04:31:06.892330,0
13,0.6131073,14.093956,32.254616,1.7832849,4.9804688,17.1875,3.7109375,6.890240430831909,2024-08-19 04:31:13.783328,0
14,0.6131073,14.758915,32.775444,0.6055577,5.2734375,17.773438,3.8085938,6.949941635131836,2024-08-19 04:31:20.733740,0
15,0.6131073,16.152721,34.546154,0.6699462,5.5664062,17.871094,3.8085938,6.924909591674805,2024-08-19 04:31:27.659080,0
16,0.6286913,17.786255,37.282074,0.9507233,5.6640625,18.164062,3.8085938,6.950221538543701,2024-08-19 04:31:34.609800,0
17,0.6413364,18.644768,38.608673,1.0020066,5.6640625,18.359375,3.8085938,6.898933172225952,2024-08-19 04:31:41.509172,0
18,0.6413364,19.417562,39.58026,1.061575,5.6640625,18.75,3.8085938,7.0587077140808105,2024-08-19 04:31:48.568317,0
19,0.6413364,20.293205,40.861275,1.1473445,5.7617188,19.140625,3.8085938,6.950933218002319,2024-08-19 04:31:55.519804,0
20,0.6413364,21.950615,43.29467,1.2626874,5.9570312,19.433594,3.8085938,7.045275926589966,2024-08-19 04:32:02.565869,0
21,0.6413364,22.665787,44.61541,1.3567328,6.0546875,19.726562,3.8085938,6.930055618286133,2024-08-19 04:32:09.496355,0
22,0.69047934,23.998394,46.04618,1.481544,6.25,19.824219,3.8085938,6.8702147006988525,2024-08-19 04:32:16.367041,0
23,0.69047934,24.303877,47.36676,1.5233684,6.4453125,20.117188,3.8085938,6.93317174911499,2024-08-19 04:32:23.300871,0
24,0.69047934,24.936808,48.869663,1.5452013,6.4453125,20.507812,3.8085938,6.947304725646973,2024-08-19 04:32:30.248672,0
25,0.69047934,26.362434,49.17157,1.5452013,6.4453125,20.605469,3.8085938,7.0376763343811035,2024-08-19 04:32:37.286780,0
